Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,882.0,885.6,876.9,878.75,294000,874.0851
2016-01-04,876.2,892.45,871.7,880.8,709100,876.1243
2016-01-05,881.3,905.0,881.3,900.65,1372700,895.8689
2016-01-06,904.5,911.9,884.0,886.4,1716400,881.6946
2016-01-07,883.0,891.55,869.0,872.35,990300,867.7191
2016-01-08,879.0,881.95,866.6,874.6,886000,869.9572
2016-01-11,870.0,884.0,861.6,873.85,801100,869.2111
2016-01-12,882.0,885.5,870.2,872.9,998400,868.2662
2016-01-13,879.95,883.5,850.05,868.55,901400,863.9393
2016-01-14,863.5,897.0,851.1,889.4,2296600,884.6786
2016-01-15,893.0,894.95,874.3,879.25,1301500,874.5825
2016-01-18,890.0,893.0,841.65,850.3,2335300,845.7862
2016-01-19,867.9,868.4,826.0,845.55,2443300,841.0614
2016-01-20,834.0,856.0,830.0,840.35,2247200,835.8889999999999
2016-01-21,850.0,856.0,841.0,844.45,1138700,839.9672
2016-01-22,853.0,873.4,849.2,869.95,1774000,865.3319
2016-01-25,870.0,882.0,868.15,878.6,1794100,873.9359
2016-01-26,878.6,878.6,878.6,878.6,0,873.9359
2016-01-27,880.0,881.8,855.15,858.55,969500,853.9924
2016-01-28,854.0,865.0,852.15,858.95,1392000,854.3903
2016-01-29,864.0,875.0,859.0,869.9,1320500,865.2822
2016-02-01,874.2,890.0,871.3,887.4,786200,882.6893
2016-02-02,889.9,894.75,878.0,882.5,920800,877.8152
2016-02-03,876.2,883.95,859.05,863.7,540700,859.1151
2016-02-04,865.0,895.95,865.0,889.35,1658800,884.6289
2016-02-05,889.0,903.45,886.4,899.25,1739100,894.4763
2016-02-08,903.0,907.5,886.0,888.6,783100,883.8828
2016-02-09,884.9,894.3,878.5,884.2,636300,879.5062
2016-02-10,888.5,889.0,866.5,876.55,707100,871.8968
2016-02-11,874.75,874.75,852.0,855.7,1004000,851.1575
2016-02-12,860.0,873.25,846.5,854.9,1089200,850.3618
2016-02-15,866.0,872.2,853.0,858.7,703900,854.1416
2016-02-16,855.05,860.15,836.1,840.3,985200,835.8392
2016-02-17,844.0,858.95,827.1,856.0,1171900,851.4559
2016-02-18,862.0,863.8,830.6,835.25,997800,830.8161
2016-02-19,834.95,856.9,829.0,854.7,799300,850.1628
2016-02-22,856.0,873.2,854.0,870.85,609600,866.2271
2016-02-23,871.0,879.9,866.15,877.1,1438900,872.4439
2016-02-24,879.0,885.75,875.0,881.8,1289000,877.1189
2016-02-25,880.5,884.9,858.7,861.7,1326300,857.1257
2016-02-26,868.0,874.0,854.2,862.55,536700,857.9711
2016-02-29,864.1,868.95,841.6,846.1,890800,841.6084
2016-03-01,852.6,874.65,850.0,871.95,1161000,867.3213
2016-03-02,876.0,880.95,866.5,871.85,808100,867.2218
2016-03-03,874.4,896.5,871.75,880.25,1061300,875.5772
2016-03-04,886.6,890.1,858.4,865.8,1039900,861.2039
2016-03-07,865.8,865.8,865.8,865.8,0,861.2039
2016-03-08,867.9,881.8,858.05,875.7,1174000,871.0514
2016-03-09,876.0,888.8,869.85,876.2,1401900,871.5487
2016-03-10,870.0,896.0,870.0,894.75,810900,890.0002
2016-03-11,900.0,903.7,891.55,898.35,1043600,893.5811
2016-03-14,898.0,903.2,888.6,899.35,788200,894.5758
2016-03-15,903.0,906.5,876.15,884.6,954000,879.9041
2016-03-16,880.3,882.0,862.1,864.9,1456200,860.3087
2016-03-17,870.0,876.0,865.1,872.55,965200,867.918
2016-03-18,871.0,877.9,859.95,875.35,1072400,870.7032
