Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,879.9,886.0,871.5,881.4,851600,878.1661
2016-01-04,876.9,878.5,832.2,844.3,2112400,841.2022
2016-01-05,845.95,867.35,841.25,863.5,1926100,860.3317
2016-01-06,869.95,878.0,853.3,867.2,1920400,864.0182
2016-01-07,853.5,861.8,837.8,841.5,1796500,838.4125
2016-01-08,848.0,855.2,840.0,844.65,1618200,841.5509
2016-01-11,837.05,846.0,825.0,833.0,1437800,829.9437
2016-01-12,836.2,848.95,834.7,840.75,1394300,837.6652
2016-01-13,846.5,847.35,796.05,829.3,1776400,826.2572
2016-01-14,816.0,844.9,808.5,836.5,1419100,833.4308
2016-01-15,843.8,843.8,810.0,814.75,1181700,811.7606
2016-01-18,820.0,827.5,790.65,800.1,1783900,797.1643
2016-01-19,801.2,829.0,800.9,821.2,1191900,818.187
2016-01-20,805.0,819.8,783.0,800.9,1547200,797.9615
2016-01-21,813.7,815.85,766.2,773.95,1525300,771.1103
2016-01-22,788.95,816.0,779.65,811.1,1453200,808.1239999999999
2016-01-25,822.0,829.7,814.0,818.95,1288600,815.9452
2016-01-26,818.95,818.95,818.95,818.95,0,815.9452
2016-01-27,818.2,825.0,797.0,801.3,1263100,798.36
2016-01-28,800.0,815.8,798.15,808.65,1317700,805.683
2016-01-29,814.8,838.0,806.2,834.25,1447000,831.1891
2016-02-01,820.5,820.5,790.35,801.0,3040900,798.0611
2016-02-02,807.0,807.9,755.05,765.85,6875100,763.04
2016-02-03,759.0,779.9,751.0,770.15,2334600,767.3243
2016-02-04,777.95,782.0,723.0,740.45,3978200,737.7332
2016-02-05,742.15,768.0,715.1,763.2,3354300,760.3998
2016-02-08,770.0,770.1,741.0,745.2,1953100,742.4658
2016-02-09,738.0,747.1,720.0,742.7,2413800,739.975
2016-02-10,738.0,738.0,644.75,691.25,10999000,688.7137
2016-02-11,695.05,697.5,625.4,639.15,6214600,636.8049
2016-02-12,648.95,672.9,601.55,661.95,6840000,659.5213
2016-02-15,677.95,683.0,646.0,653.35,2623200,650.9528
2016-02-16,654.15,656.9,624.0,629.15,2461100,626.8416
2016-02-17,629.0,666.2,616.3,663.2,2641000,660.7667
2016-02-18,668.5,678.5,658.0,668.0,2220900,666.2523
2016-02-19,667.0,667.1,647.9,655.55,2116100,653.8348
2016-02-22,659.95,663.8,634.8,654.4,2247100,652.6879
2016-02-23,673.0,673.4,647.65,653.85,2743200,652.1393
2016-02-24,654.0,654.05,610.0,616.9,3228500,615.286
2016-02-25,615.1,615.2,582.0,588.85,5727000,587.3093
2016-02-26,600.0,624.5,588.5,615.85,4072800,614.2387
2016-02-29,624.4,667.0,624.05,655.65,6887400,653.9346
2016-03-01,659.1,683.85,645.8,679.2,4229300,677.423
2016-03-02,685.0,695.85,670.2,674.85,3133200,673.0843
2016-03-03,677.0,701.9,676.5,697.95,2705800,696.1239
2016-03-04,701.6,710.8,691.0,701.25,2795300,699.4153
2016-03-07,701.25,701.25,701.25,701.25,0,699.4153
2016-03-08,700.0,710.0,689.05,705.45,1957700,703.6043
2016-03-09,702.5,720.5,695.5,718.0,1812100,716.1215
2016-03-10,720.0,732.0,717.05,724.2,1898000,722.3053
2016-03-11,722.9,735.45,719.2,732.45,2063600,730.5337
2016-03-14,729.0,742.0,727.0,736.4,1467100,734.4733
