Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,449.75,452.9,445.55,449.9,3345600,445.73
2016-01-04,448.9,448.9,436.15,438.4,5862800,434.34
2016-01-05,439.9,439.9,433.6,436.45,5579400,432.41
2016-01-06,439.3,439.3,430.0,430.7,5756200,426.71
2016-01-07,425.0,425.15,407.0,409.25,13787300,405.46
2016-01-08,413.5,418.75,410.0,413.7,11307400,409.87
2016-01-11,410.0,423.4,407.4,417.2,10352300,413.33
2016-01-12,419.8,420.65,401.0,406.1,13070400,402.34
2016-01-13,410.0,411.45,392.45,406.7,15873900,402.93
2016-01-14,394.8,402.0,388.75,390.6,11776700,386.98
2016-01-15,392.45,395.85,369.0,374.25,13178800,370.78
2016-01-18,372.25,383.35,366.75,373.2,14117100,369.74
2016-01-19,376.0,396.0,376.0,393.0,14215600,389.36
2016-01-20,385.6,393.4,374.65,387.6,15605600,384.01
2016-01-21,400.0,412.45,397.7,409.15,28200900,405.36
2016-01-22,419.4,427.65,414.6,424.15,15009100,420.22
2016-01-25,429.75,429.75,415.2,420.85,10252400,416.95
2016-01-26,420.85,420.85,420.85,420.85,0,416.95
2016-01-27,424.1,426.5,411.6,415.4,8648900,411.55
2016-01-28,416.0,416.9,402.4,405.65,9370400,401.89
2016-01-29,396.0,409.8,393.25,408.4,13667700,404.62
2016-02-01,410.0,410.35,394.5,399.3,10700900,395.6
2016-02-02,399.0,404.45,388.6,390.9,12131000,387.28
2016-02-03,387.0,390.0,379.15,380.55,10077200,377.02
2016-02-04,385.75,386.6,373.35,382.75,11472600,379.2
2016-02-05,384.7,405.0,384.25,399.55,11677900,395.85
2016-02-08,401.0,417.95,401.0,408.55,11996600,404.77
2016-02-09,401.0,405.9,396.0,399.9,6550200,396.2
2016-02-10,397.9,398.0,385.35,393.6,10922300,389.95
2016-02-11,392.9,396.75,373.3,377.2,8076800,373.71
2016-02-12,389.4,395.95,379.1,391.1,28434500,387.48
2016-02-15,395.65,420.0,395.65,417.65,13964500,413.78
2016-02-16,420.8,422.5,405.0,405.8,12445000,402.04
2016-02-17,406.9,406.9,394.75,403.1,10197700,399.37
2016-02-18,410.2,412.1,391.6,398.05,12069400,394.36
