Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,157.2,159.9,156.0,159.05,2465400,159.05
2016-01-04,158.1,158.8,150.5,151.2,5466900,151.2
2016-01-05,152.7,152.7,146.3,148.1,7745800,148.1
2016-01-06,148.0,150.95,146.6,148.7,4243700,148.7
2016-01-07,147.0,147.0,138.8,139.5,7983000,139.5
2016-01-08,140.95,143.45,139.35,140.45,3860800,140.45
2016-01-11,138.0,140.2,134.55,139.1,7042600,139.1
2016-01-12,138.55,140.4,133.7,134.5,5896400,134.5
2016-01-13,136.2,137.4,127.5,132.1,8377500,132.1
2016-01-14,129.8,131.85,126.25,130.9,7253900,130.9
2016-01-15,130.95,133.0,124.6,126.15,6218100,126.15
2016-01-18,127.0,131.5,124.45,125.7,12717200,125.7
2016-01-19,127.55,129.2,124.25,125.15,6853300,125.15
2016-01-20,122.8,123.0,118.05,121.15,7500300,121.15
2016-01-21,123.55,126.5,121.1,124.25,6580000,124.25
2016-01-22,126.3,131.6,126.25,130.2,6659000,130.2
2016-01-25,132.4,133.15,128.5,129.5,5082900,129.5
2016-01-26,129.5,129.5,129.5,129.5,0,129.5
2016-01-27,128.7,131.4,125.35,130.0,8078400,130.0
2016-01-28,129.9,132.7,128.35,130.15,6109000,130.15
2016-01-29,128.8,130.7,122.65,125.4,11988900,125.4
2016-02-01,125.25,126.85,121.1,122.2,5631200,122.2
2016-02-02,122.55,127.85,120.1,120.95,9944800,120.95
2016-02-03,119.4,122.6,116.3,120.55,6876400,120.55
2016-02-04,123.0,124.7,120.85,122.8,5957900,122.8
2016-02-05,123.4,128.05,121.65,126.95,5380800,126.95
2016-02-08,127.9,134.7,127.1,130.65,9374400,130.65
2016-02-09,128.0,131.55,123.55,124.3,8476400,124.3
2016-02-10,124.0,124.0,115.6,116.9,11189600,116.9
2016-02-11,115.6,121.6,112.65,115.95,17088600,115.95
2016-02-12,117.0,117.4,109.35,113.7,7472300,113.7
2016-02-15,118.5,142.1,118.5,139.35,55792500,139.35
2016-02-16,140.75,140.75,129.7,130.85,27278700,130.85
2016-02-17,131.2,140.45,126.3,138.3,27514600,138.3
2016-02-18,141.7,146.25,135.4,138.85,21839900,138.85
2016-02-19,136.75,141.85,136.5,139.65,11146100,139.65
2016-02-22,140.0,141.5,136.65,139.25,8496500,139.25
2016-02-23,139.0,139.25,132.35,132.95,8612400,132.95
2016-02-24,130.75,136.25,130.05,133.7,11020400,133.7
2016-02-25,135.35,135.85,129.25,130.1,14421300,130.1
2016-02-26,133.75,134.25,126.7,132.75,15314300,132.75
2016-02-29,133.25,139.2,127.1,131.9,26064200,131.9
2016-03-01,134.35,136.8,133.0,136.05,13674300,136.05
2016-03-02,144.5,152.1,143.1,145.25,30497300,145.25
2016-03-03,147.4,147.4,141.2,145.4,11598800,145.4
2016-03-04,146.0,150.5,143.6,148.9,14291800,148.9
2016-03-07,148.9,148.9,148.9,148.9,0,148.9
2016-03-08,143.9,147.45,140.6,141.9,14941400,141.9
2016-03-09,140.0,143.4,139.55,143.05,18609500,143.05
2016-03-10,144.0,144.3,138.3,139.2,9988200,139.2
2016-03-11,139.0,142.2,137.5,140.7,7604600,140.7
