Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,330.0,335.0,325.3,334.05,1001000,287.25
2016-01-04,332.95,337.1,327.5,330.2,1402200,283.94
2016-01-05,332.9,332.9,324.3,325.8,3789700,280.15
2016-01-06,325.2,331.0,324.5,327.9,3950900,281.96
2016-01-07,326.8,329.75,324.25,326.4,2845000,280.67
2016-01-08,328.0,329.5,317.0,321.1,3587500,276.11
2016-01-11,319.0,319.0,311.0,315.95,3136000,271.68
2016-01-12,315.95,317.7,312.2,316.0,2704400,271.73
2016-01-13,318.0,320.5,313.4,317.3,1860700,272.84
2016-01-14,314.15,321.85,310.6,318.65,1469400,274.01
2016-01-15,319.9,321.0,317.2,318.55,1925200,273.92
2016-01-18,315.5,323.1,309.4,310.85,1736400,267.3
2016-01-19,311.1,312.0,302.0,308.85,3268300,265.58
2016-01-20,305.8,316.55,292.0,298.15,3609900,256.38
2016-01-21,302.1,302.15,286.5,288.2,4600400,247.82
2016-01-22,291.0,302.6,289.2,299.45,8008900,257.5
2016-01-25,302.0,306.3,299.45,304.9,3162400,262.18
2016-01-26,304.9,304.9,304.9,304.9,0,262.18
2016-01-27,304.7,305.5,298.1,304.05,3860500,261.45
2016-01-28,302.5,313.75,301.1,306.6,8121500,263.64
2016-01-29,305.95,324.5,305.1,319.95,4782000,275.12
2016-02-01,321.7,330.0,311.65,328.55,3208300,282.52
2016-02-02,327.5,332.6,316.5,318.95,3045600,274.26
2016-02-03,317.0,324.3,314.8,317.25,4106100,272.8
2016-02-04,317.95,323.4,317.85,322.5,3572500,277.32
2016-02-05,323.4,337.2,318.0,326.25,6271700,280.54
2016-02-08,327.0,329.75,321.8,323.35,2378700,278.05
2016-02-09,320.4,323.0,308.05,309.25,3673300,265.92
2016-02-10,305.1,316.25,302.1,313.75,3126000,269.79
2016-02-11,311.9,313.75,295.75,305.1,4387900,262.35
2016-02-12,309.1,311.1,300.5,302.85,4767100,260.42
2016-02-15,307.55,330.75,306.4,324.25,5228800,278.82
2016-02-16,326.0,326.7,313.5,317.9,2434900,273.36
2016-02-17,318.05,319.0,306.5,312.8,2497100,268.97
2016-02-18,314.8,319.1,314.0,317.6,1809800,273.1
2016-02-19,316.0,316.95,310.1,312.25,3183900,268.5
2016-02-22,312.6,316.0,310.2,313.9,2820100,269.92
2016-02-23,313.9,314.0,299.7,301.1,3468600,258.91
2016-02-24,300.95,300.95,292.7,295.25,2928400,253.88
2016-02-25,296.0,307.9,295.2,299.4,14688900,257.45
2016-02-26,302.05,312.85,301.5,311.45,6359600,267.81
2016-02-29,317.0,317.7,306.25,311.0,6433600,267.43
2016-03-01,311.7,318.85,309.55,317.85,3958400,273.32
2016-03-02,318.0,320.0,309.9,311.0,4195700,267.43
2016-03-03,314.8,317.05,310.0,314.1,4070200,270.09
2016-03-04,315.1,327.5,314.55,325.15,6405100,279.59
2016-03-07,325.15,325.15,325.15,325.15,0,279.59
2016-03-08,332.0,333.0,322.35,324.05,13626400,278.65
2016-03-09,324.0,326.1,322.0,322.5,6614300,277.32
2016-03-10,325.0,326.1,320.1,321.7,8652200,276.63
2016-03-11,323.0,325.65,316.7,318.9,11276400,274.22
2016-03-14,292.9,299.0,292.0,296.7,9036800,279.11
2016-03-15,298.6,298.7,295.2,295.65,4471300,278.12
2016-03-16,296.4,296.9,293.5,295.65,3600500,278.12
2016-03-17,297.2,298.2,293.45,294.25,3428600,276.81
2016-03-18,296.0,298.8,293.8,297.75,4585800,280.1
2016-03-21,297.25,298.5,295.0,296.6,2804700,279.02
2016-03-22,296.5,299.7,293.55,294.4,5604000,276.95
2016-03-23,295.95,298.5,294.9,298.0,2712200,280.33
2016-03-24,298.0,298.0,298.0,298.0,0,280.33
2016-03-25,298.0,298.0,298.0,298.0,0,280.33
2016-03-28,298.5,298.5,292.2,293.5,4199900,276.1
2016-03-29,293.95,297.4,293.05,295.15,2231400,277.65
2016-03-30,295.6,297.55,295.4,296.85,3076800,279.25
2016-03-31,297.85,297.85,291.0,291.95,8788600,274.64
2016-04-01,292.0,293.75,285.65,287.0,4021600,269.99
2016-04-04,288.4,288.95,284.0,285.0,3745400,268.11
2016-04-05,284.5,284.95,274.1,275.25,4975100,258.93
2016-04-06,276.0,279.9,274.0,275.6,6518500,259.26
2016-04-07,277.2,281.75,276.3,281.25,3137800,264.58
2016-04-08,281.75,283.0,278.4,279.6,3567100,263.03
2016-04-11,280.2,282.6,277.2,280.45,6696400,263.83
2016-04-12,280.45,280.5,271.65,274.4,9281600,258.13
2016-04-13,276.25,278.3,275.0,277.45,9314200,261.0
2016-04-14,277.45,277.45,277.45,277.45,0,261.0
2016-04-15,277.45,277.45,277.45,277.45,0,261.0
2016-04-18,276.7,278.55,274.2,275.8,7530400,259.45
2016-04-19,275.8,275.8,275.8,275.8,0,259.45
2016-04-20,277.8,282.0,276.15,278.65,8438800,262.13
2016-04-21,280.0,288.75,279.8,287.75,6341500,270.69
2016-04-22,288.65,288.65,285.0,287.8,3616100,270.74
2016-04-25,288.6,290.9,286.8,287.95,2987500,270.88
2016-04-26,287.1,289.9,286.5,288.3,1972400,271.21
