Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,16879.0,17689.6,16772.7,17370.8,59900,17276.17
2016-01-04,17519.9,17974.9,17440.1,17495.3,91700,17399.99
2016-01-05,17575.0,17771.2,17110.9,17159.9,56300,17066.42
2016-01-06,17287.0,17614.9,17220.0,17525.1,48700,17429.63
2016-01-07,17390.0,17448.3,16919.5,17035.7,49600,16942.89
2016-01-08,17060.0,17480.0,17060.0,17241.4,28200,17147.47
2016-01-11,17160.0,17410.0,16903.0,17239.1,30200,17145.19
2016-01-12,17399.8,17400.0,16980.9,17066.8,29600,16973.83
2016-01-13,17288.0,17288.0,16674.7,17062.7,45000,16969.75
2016-01-14,16890.0,17095.2,16749.9,16988.0,37000,16895.45
2016-01-15,17010.0,17188.0,16051.0,16240.8,33900,16152.32
2016-01-18,16247.3,16277.0,15250.0,15459.5,48500,15375.28
2016-01-19,15450.0,15911.4,14800.0,15823.8,62900,15737.6
2016-01-20,15601.0,15735.5,15030.0,15538.8,43800,15454.15
2016-01-21,15788.8,15911.9,15380.0,15552.2,45800,15467.48
2016-01-22,15885.0,16583.1,15705.1,16472.4,55000,16382.66
2016-01-25,16777.5,16777.5,16355.5,16416.2,22800,16326.77
2016-01-26,16416.2,16416.2,16416.2,16416.2,0,16326.77
2016-01-27,16454.0,16476.7,16112.0,16232.1,26500,16143.67
2016-01-28,16232.0,16288.0,15889.0,15959.0,37000,15872.06
2016-01-29,16000.0,16650.9,15844.1,16546.6,57400,16456.46
2016-02-01,16800.0,17109.0,16600.2,17073.8,43900,16980.79
2016-02-02,17199.0,17397.0,17002.0,17197.1,49100,17103.41
2016-02-03,17010.0,17218.0,16617.4,16754.2,64100,16662.93
2016-02-04,16901.0,17297.0,16750.0,16894.3,46800,16802.26
2016-02-05,17060.0,18450.0,16898.4,18119.2,216900,18020.49
2016-02-08,18374.0,18888.7,18230.0,18384.8,103200,18284.65
2016-02-09,18200.0,18368.7,17977.6,18175.8,36500,18076.78
2016-02-10,18137.0,18231.5,17810.0,17909.9,48800,17812.33
2016-02-11,17750.0,18000.0,17562.2,17619.3,125800,17523.32
2016-02-12,17720.0,18250.0,17397.8,17993.7,81700,17895.67
2016-02-15,18275.3,18900.0,18275.3,18772.2,56400,18669.93
2016-02-16,18900.0,18910.9,18636.0,18690.3,85900,18588.48
2016-02-17,18700.0,19250.0,18519.0,18802.5,182000,18700.07
2016-02-18,18999.9,18999.9,18523.6,18694.6,60100,18592.76
2016-02-19,18550.0,18898.9,18223.6,18626.4,28300,18524.93
2016-02-22,18798.0,19000.0,18675.1,18918.7,25400,18815.63
2016-02-23,19101.0,19194.9,18900.0,19003.8,47600,18900.27
2016-02-24,18937.2,19420.0,18777.3,19094.7,38100,18990.68
2016-02-25,19049.2,19189.8,18653.0,18888.8,71700,18785.9
2016-02-26,19001.0,19160.8,18790.2,18885.6,43500,18782.72
2016-02-29,18820.0,19400.0,18450.3,18900.6,53100,18797.63
2016-03-01,18950.0,19360.0,18900.0,19184.3,79500,19079.79
2016-03-02,19500.0,19500.0,19223.2,19321.9,73800,19216.64
2016-03-03,19430.0,19431.0,19252.0,19328.4,45000,19223.1
2016-03-04,19400.0,19400.0,19101.0,19258.5,23200,19153.58
2016-03-07,19258.5,19258.5,19258.5,19258.5,0,19153.58
2016-03-08,19200.0,19995.0,19150.0,19802.1,103500,19694.22
2016-03-09,19836.0,20272.5,19777.4,19933.8,79900,19825.21
2016-03-10,19950.0,20010.0,19700.2,19799.9,94200,19692.04
2016-03-11,19820.0,20127.8,19715.0,20004.0,47300,19895.02
2016-03-14,20200.0,20250.0,19800.0,19849.8,72800,19741.66
2016-03-15,19874.8,19874.8,19461.0,19548.3,135900,19441.81
