Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,499.6654,502.9321,490.9321,492.9988,770400,357.81800000000004
2016-01-04,492.9988,499.9321,478.0655,479.7321,943000,348.1891
2016-01-05,482.2655,499.3321,482.1321,496.3321,1681800,360.2373
2016-01-06,495.9321,507.9987,490.6655,496.9321,2369300,360.6728
2016-01-07,488.6655,499.9321,487.7988,494.1321,1857600,358.6406
2016-01-08,501.7988,501.7988,494.8654,497.5988,873900,361.1567
2016-01-11,495.5988,499.7321,488.2655,492.3988,1001900,357.3825
2016-01-12,492.3988,498.6654,486.6655,487.7988,1036900,354.0438
2016-01-13,490.0654,499.3321,478.1322,483.8655,1051600,351.189
2016-01-14,481.0655,486.6655,472.3988,476.7321,915600,346.0117
2016-01-15,476.1322,476.5321,444.7989,447.7989,2126400,325.012
2016-01-18,446.6656,468.1988,438.7989,452.5989,1754000,328.4958
2016-01-19,453.7322,465.5989,450.1322,457.2656,743600,331.8828
2016-01-20,453.8655,464.6655,443.9989,451.5989,1235800,327.77
2016-01-21,457.3322,466.3988,448.3989,453.9989,972900,329.5119
2016-01-22,462.9322,497.3321,456.6655,489.2655,2358300,355.1084
2016-01-25,492.2655,495.8654,471.6655,475.5988,2060900,345.1891
2016-01-26,475.5988,475.5988,475.5988,475.5988,0,345.1891
2016-01-27,475.5988,483.5988,467.2655,477.7321,1447900,346.7375
2016-01-28,480.1988,488.1321,466.9988,481.3321,3984200,349.3503
2016-01-29,483.9988,496.6654,482.7321,491.4655,1445500,356.7051
2016-02-01,490.6655,497.5988,476.8655,490.8654,1065000,356.2696
2016-02-02,486.6655,491.3321,479.9988,482.2655,1237900,350.0278
2016-02-03,473.9988,483.9988,465.4655,480.1322,1009000,348.4794
2016-02-04,482.9322,491.1988,462.6655,473.3322,1790100,343.54400000000004
2016-02-05,472.0655,473.3322,451.3322,456.7322,1755500,331.4957
2016-02-08,452.9322,474.2655,448.2656,458.0655,1720700,332.4635
2016-02-09,454.9322,470.6655,451.7322,464.7989,2644800,337.3505
2016-02-10,461.3322,465.5989,450.1989,461.3988,1744600,334.8828
2016-02-11,461.1322,467.6655,435.7322,442.7989,1724400,321.383
2016-02-12,443.8656,446.4656,419.79900000000004,433.2656,2480300,314.4637
2016-02-15,436.5322,447.9322,434.7322,445.5322,1747700,323.3668
2016-02-16,445.4656,451.7989,428.3323,430.0656,997600,314.4941
2016-02-17,430.6656,435.1323,410.4657,432.1989,1452300,316.0541
2016-02-18,435.7322,439.9989,425.5323,431.1989,1398800,315.3229
2016-02-19,429.3323,435.9323,418.7323,434.4656,520800,317.7117
2016-02-22,433.3323,439.9323,424.1989,428.5323,679300,313.3728
2016-02-23,428.9323,433.3323,420.9323,422.6656,822900,309.0827
2016-02-24,419.999,426.6656,413.999,418.3323,1643400,305.9139
2016-02-25,419.999,420.9323,403.3323,406.7323,2400400,297.4312
2016-02-26,410.6657,413.3323,397.199,405.4657,1239000,296.5049
2016-02-29,405.4657,415.7323,387.0657,406.8657,2821000,297.5287
2016-03-01,408.6657,431.3323,404.9323,428.1323,2563000,313.0803
2016-03-02,430.6656,439.2656,423.999,432.5323,1007400,316.2979
2016-03-03,429.2656,465.1322,421.3323,452.9989,2347700,331.2645
2016-03-04,449.3322,458.6655,442.3989,454.6655,806000,332.4833
2016-03-07,454.6655,454.6655,454.6655,454.6655,0,332.4833
2016-03-08,450.6656,470.6655,450.6656,466.1322,1040400,340.8685
2016-03-09,467.3322,475.1988,462.8655,466.0655,1090600,340.8197
2016-03-10,466.5322,470.9322,453.3322,455.5322,1012400,333.1171
2016-03-11,455.5322,459.9989,448.7322,452.5989,1504500,330.972
2016-03-14,455.0655,465.9988,453.3322,457.5322,984100,334.5796
2016-03-15,455.4655,463.0655,448.7322,454.1989,1218800,332.142
2016-03-16,451.3322,459.8655,442.9989,452.9322,679400,331.2158
2016-03-17,461.3988,480.7321,458.9989,471.0655,2535800,344.4761
2016-03-18,473.3322,489.0654,469.9988,485.7988,3624600,355.2501
2016-03-21,489.5321,491.3321,480.1322,484.5321,1395300,354.3238
2016-03-22,483.9322,489.4655,479.5988,481.3988,875000,352.0325
2016-03-23,482.1988,485.3321,472.9988,474.7988,880300,347.2062
2016-03-24,474.7988,474.7988,474.7988,474.7988,0,347.2062
2016-03-25,474.7988,474.7988,474.7988,474.7988,0,347.2062
2016-03-28,474.6655,482.6655,474.6655,476.9988,1630000,348.8149
2016-03-29,476.5321,482.5321,460.3988,463.7322,1869500,339.1134
2016-03-30,469.8655,480.5321,467.1988,479.2655,1491400,350.4725
2016-03-31,479.2655,482.2655,469.8655,475.1988,2210700,347.4987
2016-04-01,472.8655,474.2655,461.7322,463.5989,1171700,339.01599999999996
2016-04-04,467.1988,469.3322,461.3322,464.2655,856600,339.5035
2016-04-05,460.0655,464.6655,450.7989,452.7322,1162800,331.0695
2016-04-06,453.9989,459.9989,446.5322,455.1989,1134600,332.8733
2016-04-07,458.7989,459.6655,452.3989,454.7322,1121400,332.532
2016-04-08,454.6655,465.9988,448.9989,463.1322,752200,338.6747
2016-04-11,466.5989,471.5988,458.0655,469.2655,991400,343.1598
2016-04-12,469.2655,489.9988,466.8655,488.4655,1201000,357.2002
2016-04-13,495.8654,496.7321,481.9988,492.7321,2026300,360.3202
2016-04-14,492.7321,492.7321,492.7321,492.7321,0,360.3202
2016-04-15,492.7321,492.7321,492.7321,492.7321,0,360.3202
2016-04-18,487.2655,491.0654,476.7988,479.2655,1138800,350.4725
2016-04-19,479.2655,479.2655,479.2655,479.2655,0,350.4725
2016-04-20,479.2655,493.9988,477.6655,490.1988,2017300,358.4677
2016-04-21,491.9988,499.1988,487.1988,492.5321,1699500,360.17400000000004
2016-04-22,491.3988,494.5988,486.6655,488.9321,667700,357.5414
2016-04-25,491.9988,492.5321,476.9322,480.1988,694800,351.155
2016-04-26,476.2655,490.7988,471.7322,483.9988,1478000,353.9338
2016-04-27,482.8655,498.9988,475.2655,497.5988,1929600,363.8791
2016-04-28,500.6654,502.2654,482.1321,484.2655,2245800,354.1288
2016-04-29,484.2655,488.6655,473.9322,480.4655,715100,351.35
2016-05-02,479.9988,492.9321,475.3988,490.1321,1051900,358.4189
2016-05-03,490.6655,493.1988,482.6655,485.7321,1266200,355.2013
2016-05-04,483.9988,495.4654,481.9322,487.9321,1253600,356.8102
2016-05-05,487.9321,493.3321,483.9988,487.6655,803800,356.6151
2016-05-06,484.9988,515.8654,482.9988,511.7987,3299400,374.2631
2016-05-09,515.9321,519.1987,512.7987,514.5987,1845400,376.3106
2016-05-10,515.9987,525.8654,507.1987,521.9987,1261600,381.722
2016-05-11,517.1987,519.9987,510.9987,515.9987,1070100,377.3344
2016-05-12,513.3321,526.132,513.3321,517.1321,842700,378.1632
2016-05-13,514.6654,516.3987,500.3987,506.1321,1011500,370.1192
2016-05-16,506.7988,509.8654,494.7988,503.1321,820800,367.9254
2016-05-17,506.6654,515.9987,503.8654,511.8654,1270800,374.3118
2016-05-18,509.3321,517.3321,503.9988,509.7987,1008500,372.8006
2016-05-19,509.1987,509.7321,493.3321,496.5321,1089100,363.099
2016-05-20,498.6654,502.7988,493.3321,495.3988,777200,362.2703
2016-05-23,499.5321,506.6654,490.6655,494.3321,804500,361.4903
2016-05-24,494.3321,501.3321,487.5988,494.5321,1392200,361.6365
2016-05-25,497.3321,511.9987,497.3321,508.7321,1722800,372.0205
2016-05-26,513.8654,519.7987,504.3987,506.9321,2974400,370.7043
2016-05-27,508.9321,514.5987,503.7321,505.7321,1299200,369.8267
2016-05-30,509.9321,513.0654,502.7988,506.4654,2122300,370.36300000000006
2016-05-31,506.7321,507.3321,489.9321,493.9321,8064900,361.1978
2016-06-01,493.9321,499.9988,491.4655,496.6654,1082800,363.1966
2016-06-02,492.6654,503.1321,488.1988,500.9321,999700,366.3166
2016-06-03,499.9321,503.5988,491.7321,493.6654,1714800,361.0028
2016-06-06,490.9988,503.5988,490.9988,499.2654,1682800,365.0979
2016-06-07,500.4654,503.3987,496.5321,499.2654,1216900,365.0979
2016-06-08,499.2654,505.0654,494.8654,499.5988,724600,365.3416
2016-06-09,499.9321,505.9321,497.2655,501.2654,1301000,366.5604
2016-06-10,501.9321,507.4654,489.0654,491.9321,1420500,359.7352
2016-06-13,487.2655,501.5988,485.3988,495.2655,1541700,362.1728
2016-06-14,501.3321,503.9988,494.4655,497.4654,1515800,363.7816
2016-06-15,500.1988,505.9987,498.1988,502.9988,1433900,367.8279
2016-06-16,501.9988,511.4654,500.0654,509.7987,2377500,372.8006
2016-06-17,513.9987,517.4654,511.3321,516.3321,2306700,377.5782
2016-06-20,516.3321,521.7987,511.1321,514.732,1305500,376.4081
2016-06-21,518.6654,522.7987,502.7988,510.0654,1702200,372.9955
2016-06-22,512.6654,513.0654,497.9321,499.7321,1064000,365.4391
2016-06-23,498.6654,502.3987,494.2655,500.7321,1251300,366.1704
2016-06-24,494.6654,504.9988,482.1321,502.8654,1150800,367.7304
2016-06-27,502.4654,510.3321,498.7988,506.5988,999700,370.4605
2016-06-28,507.1321,510.2654,500.4654,502.5321,886900,367.4867
2016-06-29,501.3321,515.9321,499.3987,513.6654,1356900,375.6281
2016-06-30,518.9987,520.0654,509.0654,513.5321,2113600,375.5306
2016-07-01,517.3321,529.132,514.6654,527.132,2340200,385.4759
2016-07-04,530.6654,536.932,523.7987,529.0653,2559500,386.8896
2016-07-05,529.332,530.5319999999999,514.1321,515.3987,2246900,376.8956
2016-07-06,515.3987,515.3987,515.3987,515.3987,0,376.8956
2016-07-07,516.5987,521.332,511.7321,513.0654,1531300,375.1893
2016-07-08,511.3321,513.1987,499.3987,500.6654,1281400,366.1216
2016-07-11,505.6654,512.9321,503.9988,504.8654,1451300,369.19300000000004
2016-07-12,504.1321,509.8654,502.0654,504.3321,2094400,368.8029
2016-07-13,513.3321,523.9987,505.1321,522.4654,2656900,382.0633
2016-07-14,527.732,531.9987,524.4654,528.132,2828000,386.2071
2016-07-15,526.7987,529.9987,519.9987,524.9987,747000,383.9158
2016-07-18,523.9987,532.2654,513.9987,514.8654,781800,376.5056
2016-07-19,516.0654,521.732,507.1321,514.3321,1219200,376.1156
2016-07-20,517.3321,528.3987,516.4654,527.1987,1008000,385.5246
2016-07-21,527.732,534.6653,518.4654,521.0654,626200,381.0395
2016-07-22,521.332,537.0653,521.332,526.332,1377800,384.8908
2016-07-25,528.132,531.332,520.2654,522.1987,1305400,381.8683
2016-07-26,526.6654,529.9987,512.732,514.1321,1221700,375.9694
2016-07-27,515.3321,524.2654,510.0654,513.1321,1183700,375.2381
2016-07-28,515.5987,517.5987,509.3987,511.7321,2424300,374.2143
2016-07-29,511.3321,516.3321,506.9987,508.9987,882500,372.2155
2016-08-01,509.3321,515.3321,504.3987,506.6654,1275000,370.5092
2016-08-02,506.5321,509.1987,498.7988,501.6654,1106400,366.8529
2016-08-03,501.2654,504.2654,493.9988,496.5321,860700,363.099
2016-08-04,497.5988,504.3987,495.9988,498.5321,952900,364.5616
2016-08-05,501.9321,511.5988,499.1988,510.0654,1409800,372.9955
2016-08-08,509.8654,516.3987,507.9987,509.2654,930700,372.4105
2016-08-09,510.5321,511.7987,503.4654,505.6654,952800,369.778
2016-08-10,503.9988,504.6654,496.6654,498.5988,624100,364.6104
2016-08-11,498.2655,499.3987,492.7988,494.5321,771600,361.6365
2016-08-12,494.9988,503.3321,494.8654,498.8654,807300,364.8053
2016-08-15,498.8654,498.8654,498.8654,498.8654,0,364.8053
2016-08-16,498.3321,502.0654,491.0654,495.3321,742100,362.2215
2016-08-17,493.4655,495.4654,489.3321,490.7988,1323800,358.9065
2016-08-18,491.8654,492.6654,486.0654,487.3321,1710600,356.3714
