Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,3743.2,3790.1,3735.0,3767.75,115200,735.52
2016-01-04,3760.05,3783.0,3633.1,3657.25,331000,713.95
2016-01-05,3662.5,3691.7,3626.5,3659.1,165200,714.31
2016-01-06,3659.0,3687.0,3602.65,3652.4,258400,713.0
2016-01-07,3631.0,3649.95,3540.0,3557.2,419300,694.42
2016-01-08,3570.1,3596.8,3514.85,3575.7,133800,698.03
2016-01-11,3557.0,3642.55,3530.85,3622.1,258100,707.09
2016-01-12,3624.0,3650.7,3502.35,3549.65,454600,692.94
2016-01-13,3570.0,3594.95,3496.0,3527.0,291900,688.52
2016-01-14,3518.0,3523.85,3475.0,3499.2,417300,683.1
2016-01-15,3502.0,3522.0,3439.0,3503.7,288600,683.97
2016-01-18,3510.0,3544.45,3480.7,3501.0,316100,683.45
2016-01-19,3490.2,3533.15,3485.65,3522.7,278400,687.68
2016-01-20,3469.7,3569.55,3458.0,3476.15,438300,678.6
2016-01-21,3485.25,3509.0,3436.55,3452.25,227000,673.93
2016-01-22,3460.1,3501.0,3435.0,3447.3,195000,672.96
2016-01-25,3450.1,3484.9,3430.0,3444.75,292400,672.47
2016-01-26,3444.75,3444.75,3444.75,3444.75,0,672.47
2016-01-27,3422.05,3483.8,3415.25,3423.75,468500,668.37
2016-01-28,3440.0,3447.8,3321.05,3345.15,735600,653.02
2016-01-29,3351.2,3444.0,3351.2,3393.65,454100,662.49
2016-02-01,3512.0,3569.95,3420.0,3438.4,898700,671.23
2016-02-02,3456.0,3479.0,3413.3,3439.2,401300,671.38
2016-02-03,3422.0,3463.0,3405.0,3412.0,353700,666.07
2016-02-04,3426.3,3457.2,3404.0,3433.15,151400,670.2
2016-02-05,3449.0,3480.0,3426.4,3463.15,362100,676.06
2016-02-08,3479.0,3517.15,3418.05,3429.45,245300,669.48
2016-02-09,3419.85,3462.55,3390.0,3398.1,176100,663.36
2016-02-10,3398.0,3444.0,3375.0,3425.4,177100,668.69
2016-02-11,3424.0,3439.7,3352.75,3392.15,270500,662.2
2016-02-12,3392.15,3401.95,3325.05,3383.9,180600,660.59
2016-02-15,3399.95,3509.95,3385.0,3472.4,302400,677.86
2016-02-16,3476.0,3504.9,3419.4,3441.1,128000,671.75
2016-02-17,3449.0,3499.75,3399.85,3455.8,339600,674.62
2016-02-18,3477.0,3495.0,3415.0,3448.5,182500,673.2
2016-02-19,3449.0,3449.0,3410.0,3427.6,160500,669.12
2016-02-22,3430.0,3493.8,3430.0,3482.9,168300,679.91
2016-02-23,3488.5,3495.0,3380.0,3407.8,315200,665.25
2016-02-24,3394.0,3435.0,3360.1,3367.8,236600,657.44
2016-02-25,3380.0,3411.1,3280.1,3301.45,553100,644.49
2016-02-26,3319.0,3322.0,3233.0,3300.6,417100,644.33
2016-02-29,3310.0,3361.0,3253.55,3327.65,315900,649.61
2016-03-01,3350.0,3446.0,3311.0,3424.85,479300,668.58
2016-03-02,3443.0,3488.0,3433.6,3451.5,137100,673.78
2016-03-03,3459.0,3529.0,3440.0,3496.95,249800,682.66
2016-03-04,3499.0,3530.9,3450.0,3515.3,508400,686.24
2016-03-07,3515.3,3515.3,3515.3,3515.3,0,686.24
2016-03-08,3523.5,3548.0,3501.05,3529.35,291600,688.98
2016-03-09,3530.0,3652.0,3520.0,3631.9,422800,709.0
2016-03-10,3639.0,3664.8,3582.0,3601.5,219100,703.07
2016-03-11,3591.65,3631.0,3565.0,3582.45,206000,699.35
2016-03-14,3592.0,3627.8,3573.75,3587.3,238500,700.29
2016-03-15,3587.0,3628.0,3545.0,3550.55,563800,693.12
2016-03-16,3559.0,3597.65,3539.9,3581.3,167400,699.12
2016-03-17,3600.0,3659.95,3593.0,3635.1,414700,709.62
2016-03-18,3640.25,3705.0,3640.25,3656.95,370200,713.89
2016-03-21,3662.0,3749.9,3640.1,3734.25,737700,728.98
2016-03-22,3739.85,3776.5,3734.7,3749.2,309500,731.9
2016-03-23,3791.0,3827.0,3772.0,3781.0,406900,738.11
2016-03-24,3781.0,3781.0,3781.0,3781.0,0,738.11
2016-03-25,3781.0,3781.0,3781.0,3781.0,0,738.11
2016-03-28,3778.95,3807.0,3733.4,3786.5,508900,739.18
2016-03-29,3770.3,3799.9,3747.65,3767.0,630300,735.37
2016-03-30,3789.0,3858.9,3777.15,3838.65,670800,749.36
