Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,855.1,855.1,843.5,845.85,485100,814.5017
2016-01-04,841.0,854.95,837.45,845.95,1086000,814.5981
2016-01-05,848.95,851.05,836.4,842.8,732600,811.5648
2016-01-06,853.7,853.7,837.0,841.4,1398900,810.2167
2016-01-07,836.1,837.9,819.0,825.05,1450600,794.4726
2016-01-08,828.0,836.75,813.8,828.35,1688400,797.6503
2016-01-11,815.0,833.0,811.1,814.55,1267600,784.3618
2016-01-12,818.0,819.0,798.05,810.05,1157600,780.0286
2016-01-13,814.8,829.85,804.3,826.4,1579200,795.7726
2016-01-14,810.05,841.8,810.05,828.85,2540600,798.1318
2016-01-15,828.5,842.0,816.0,838.05,2285500,806.9908
2016-01-18,831.1,853.95,831.1,842.35,1887000,811.1315
2016-01-19,867.0,870.0,800.0,838.25,5309400,807.1834
2016-01-20,831.05,846.0,823.0,841.9,1988000,810.6982
2016-01-21,844.0,850.15,831.25,835.25,1674200,804.2946
2016-01-22,838.0,850.95,831.9,839.25,1009200,808.1464
2016-01-25,847.5,858.9,836.85,838.7,1095000,807.6168
2016-01-26,838.7,838.7,838.7,838.7,0,807.6168
2016-01-27,838.0,840.9,830.2,836.0,1100700,810.8173
2016-01-28,833.0,849.8,829.7,844.5,1600600,819.0613
2016-01-29,845.25,870.0,842.3,865.75,1917500,839.6712
2016-02-01,865.8,889.9,865.8,880.3,1297200,853.7829
2016-02-02,880.0,885.0,867.05,872.65,1112700,846.3633
2016-02-03,866.35,870.0,848.85,852.1,978000,826.4323
2016-02-04,855.1,874.8,848.95,867.35,1317300,841.2230000000001
2016-02-05,877.0,877.0,858.35,869.65,983800,843.4537
2016-02-08,866.1,868.95,846.0,849.75,805200,824.1531
2016-02-09,843.0,844.0,805.95,810.45,1667200,786.0369999999999
2016-02-10,815.5,833.0,807.6,827.4,1132600,802.4764
2016-02-11,827.4,827.4,801.6,808.0,1619200,783.6608
2016-02-12,814.0,825.85,784.95,798.25,1392400,774.2045
2016-02-15,813.0,832.5,810.35,827.1,1380800,802.1854
2016-02-16,825.1,837.9,819.25,824.3,1052200,799.4698
2016-02-17,829.95,835.0,816.35,824.8,1360100,799.9547
2016-02-18,829.05,847.0,827.35,843.95,1064500,818.5279
2016-02-19,842.0,857.0,828.4,851.55,1183000,825.8989
2016-02-22,849.8,849.8,840.1,845.95,923700,820.4676
2016-02-23,845.0,849.0,827.0,828.95,630400,803.9797
2016-02-24,829.6,839.0,809.0,811.05,861100,786.6189
2016-02-25,807.0,815.0,799.7,808.75,809800,784.3882
2016-02-26,814.35,832.0,814.0,824.65,1023900,799.8092
