Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,1082.4,1090.25,1076.15,1088.75,798700,1079.89
2016-01-04,1084.0,1084.0,1068.1,1070.5,1296800,1061.79
2016-01-05,1070.2,1074.8,1061.35,1062.4,790200,1053.75
2016-01-06,1056.65,1076.75,1056.65,1067.1,1041300,1058.41
2016-01-07,1060.1,1064.9,1049.7,1056.2,1513800,1047.6
2016-01-08,1061.95,1064.5,1057.25,1062.35,872000,1053.7
2016-01-11,1052.05,1061.0,1045.3,1058.6,822200,1049.98
2016-01-12,1063.9,1063.9,1043.5,1046.95,1064600,1038.43
2016-01-13,1052.0,1062.75,1037.0,1060.15,1128700,1051.52
2016-01-14,1050.15,1057.4,1039.5,1049.75,1569700,1041.2
2016-01-15,1048.0,1055.45,1038.1,1042.15,1354300,1033.67
2016-01-18,1035.65,1041.45,1021.0,1025.85,1623800,1017.5
2016-01-19,1027.2,1037.55,1026.3,1035.8,1601300,1027.37
2016-01-20,1025.0,1108.0,1007.9,1018.3,2390800,1010.01
2016-01-21,1021.0,1033.25,1013.4,1023.0,1575200,1014.67
2016-01-22,1025.7,1044.25,1022.05,1030.3,1059000,1021.91
2016-01-25,1039.95,1046.7,1033.05,1041.15,2535900,1032.67
2016-01-26,1041.15,1041.15,1041.15,1041.15,0,1032.67
2016-01-27,1048.45,1048.7,1033.0,1035.65,1009800,1027.22
2016-01-28,1039.0,1046.9,1030.0,1031.7,2487900,1023.3
2016-01-29,1035.2,1054.95,1035.2,1049.85,1340000,1041.3
2016-02-01,1058.0,1067.0,1053.7,1059.75,1152300,1051.12
2016-02-02,1065.0,1065.25,1050.2,1053.8,1632100,1045.22
2016-02-03,1044.5,1051.4,1042.0,1043.85,1212500,1035.35
2016-02-04,1048.0,1054.9,1045.55,1049.2,1418900,1040.66
2016-02-05,1052.8,1063.8,1045.6,1055.25,1880900,1046.66
2016-02-08,1055.0,1058.0,1030.3,1035.85,870400,1027.42
2016-02-09,1026.7,1031.55,1020.65,1026.05,1383800,1017.7
2016-02-10,1023.9,1030.15,1010.1,1012.95,1920500,1004.7
2016-02-11,1010.0,1013.0,968.2,975.3,2200900,967.36
2016-02-12,979.0,986.45,966.0,971.4,3135500,963.49
2016-02-15,980.0,988.25,971.1,973.6,2728200,965.67
2016-02-16,981.5,982.0,962.0,973.45,1784000,965.53
2016-02-17,976.9,979.9,959.0,974.9,1875900,966.96
2016-02-18,986.0,991.25,977.0,989.45,1699900,981.4
2016-02-19,988.75,992.6,973.5,989.3,832100,981.25
2016-02-22,983.0,996.0,983.0,988.75,1000500,980.7
2016-02-23,984.9,985.5,966.0,970.05,1519500,962.15
2016-02-24,960.0,962.9,946.4,949.6,1615800,941.87
2016-02-25,954.0,957.25,938.2,942.65,2115700,934.98
2016-02-26,950.0,971.0,945.0,961.0,1552300,953.18
2016-02-29,961.1,982.6,928.0,971.85,2203100,963.94
2016-03-01,974.95,986.75,971.85,984.15,1080600,976.14
2016-03-02,998.0,1010.9,995.0,1007.2,1589700,999.0
2016-03-03,1010.75,1020.0,1010.0,1015.85,1152600,1007.58
2016-03-04,1015.45,1024.9,993.1,1020.55,1426100,1012.24
2016-03-07,1020.55,1020.55,1020.55,1020.55,0,1012.24
2016-03-08,1024.0,1024.0,1009.5,1014.15,478400,1005.89
2016-03-09,1013.0,1029.9,1006.75,1024.8,1632000,1016.46
2016-03-10,1024.8,1025.75,1010.1,1021.25,667800,1012.94
2016-03-11,1019.9,1030.8,1013.0,1028.7,1182700,1020.33
2016-03-14,1028.0,1037.95,1025.25,1027.55,752100,1019.18
2016-03-15,1027.9,1033.4,1021.65,1026.7,1922500,1018.34
2016-03-16,1027.0,1034.25,1018.95,1030.45,1200800,1022.06
2016-03-17,1034.95,1039.0,1011.15,1018.4,1278300,1010.11
2016-03-18,1022.95,1032.0,1015.35,1028.4,1033700,1020.03
2016-03-21,1033.0,1047.35,1032.25,1045.6,1329600,1037.09
2016-03-22,1046.5,1056.6,1040.7,1053.85,1030000,1045.27
2016-03-23,1053.05,1053.05,1040.55,1049.35,2116000,1040.81
2016-03-24,1049.35,1049.35,1049.35,1049.35,0,1040.81
2016-03-25,1049.35,1049.35,1049.35,1049.35,0,1040.81
2016-03-28,1045.0,1053.0,1041.65,1047.5,2817700,1038.97
2016-03-29,1047.5,1059.5,1044.25,1053.8,1683400,1045.22
2016-03-30,1058.0,1069.9,1053.9,1064.95,1953500,1056.28
2016-03-31,1066.85,1078.9,1065.05,1071.15,5020000,1062.43
2016-04-01,1068.8,1076.4,1056.8,1064.45,1289600,1055.78
2016-04-04,1065.2,1072.8,1064.0,1069.05,1544900,1060.35
2016-04-05,1069.0,1076.9,1055.65,1057.45,1665700,1048.84
2016-04-06,1061.0,1066.95,1056.75,1061.5,1073800,1052.86
2016-04-07,1064.0,1064.75,1047.05,1055.5,977900,1046.91
2016-04-08,1055.0,1063.35,1054.25,1059.35,740600,1050.73
2016-04-11,1060.3,1074.1,1042.85,1070.95,1012400,1062.23
2016-04-12,1069.6,1071.0,1059.25,1063.0,1235300,1054.35
2016-04-13,1072.0,1084.95,1069.5,1081.75,1243600,1072.94
2016-04-14,1081.75,1081.75,1081.75,1081.75,0,1072.94
2016-04-15,1081.75,1081.75,1081.75,1081.75,0,1072.94
2016-04-18,1083.5,1092.0,1071.6,1087.8,1029200,1078.94
2016-04-19,1087.8,1087.8,1087.8,1087.8,0,1078.94
2016-04-20,1091.9,1100.0,1083.55,1097.85,955300,1088.91
2016-04-21,1095.0,1105.15,1089.0,1091.15,2047900,1082.27
2016-04-22,1089.5,1100.85,1085.2,1092.15,1952300,1083.26
2016-04-25,1100.0,1100.0,1084.5,1093.25,1390400,1084.35
2016-04-26,1095.0,1115.0,1092.5,1113.85,1763400,1104.78
2016-04-27,1109.85,1125.0,1109.0,1124.2,1440900,1115.05
2016-04-28,1124.2,1136.7,1110.35,1113.95,2022300,1104.88
2016-04-29,1113.8,1136.0,1106.2,1132.35,1402900,1123.13
2016-05-02,1127.75,1130.0,1116.0,1117.65,965600,1108.55
2016-05-03,1121.9,1135.0,1113.15,1118.0,1173800,1108.9
2016-05-04,1117.5,1134.5,1114.25,1127.35,1323000,1118.17
2016-05-05,1128.0,1134.75,1122.7,1132.3,1303500,1123.08
2016-05-06,1132.0,1132.25,1117.25,1119.65,683200,1110.54
2016-05-09,1120.0,1144.95,1119.0,1141.4,1738200,1132.11
2016-05-10,1143.5,1147.5,1136.1,1144.9,1363200,1135.58
