Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,2689.0,2695.0,2675.2,2686.05,141500,2582.05
2016-01-04,2652.0,2669.0,2631.1,2637.8,254100,2535.67
2016-01-05,2642.5,2655.2,2610.05,2616.85,290000,2515.53
2016-01-06,2604.2,2623.0,2572.95,2578.2,307000,2478.38
2016-01-07,2556.9,2592.0,2510.05,2520.1,186900,2422.53
2016-01-08,2525.1,2538.35,2485.0,2489.65,198600,2393.26
2016-01-11,2475.15,2525.0,2450.2,2505.45,168500,2408.45
2016-01-12,2500.0,2510.1,2461.4,2467.2,228300,2371.68
2016-01-13,2480.25,2485.0,2420.7,2473.7,237700,2377.93
2016-01-14,2444.0,2474.05,2418.0,2437.55,312000,2343.18
2016-01-15,2445.0,2454.95,2410.2,2427.75,177100,2333.75
2016-01-18,2438.0,2450.0,2377.15,2435.55,285700,2341.25
2016-01-19,2455.0,2498.95,2446.85,2482.8,232000,2386.67
2016-01-20,2469.0,2507.0,2455.75,2488.5,349900,2392.15
2016-01-21,2484.1,2539.95,2462.5,2469.9,462800,2374.27
2016-01-22,2494.0,2599.0,2472.55,2591.5,342100,2491.16
2016-01-25,2605.0,2610.0,2493.1,2525.2,235400,2427.43
2016-01-26,2525.2,2525.2,2525.2,2525.2,0,2427.43
2016-01-27,2535.0,2548.05,2475.0,2482.45,318300,2386.34
2016-01-28,2485.0,2508.0,2431.1,2439.6,373000,2345.15
2016-01-29,2449.0,2585.0,2442.5,2565.65,494900,2466.32
2016-02-01,2560.0,2560.0,2507.25,2535.6,246000,2437.43
2016-02-02,2541.6,2550.75,2508.6,2518.3,234200,2420.8
2016-02-03,2500.0,2542.8,2471.0,2484.85,177200,2388.64
2016-02-04,2490.25,2528.25,2472.0,2513.8,247400,2416.47
2016-02-05,2513.8,2589.0,2505.0,2584.75,208800,2484.68
2016-02-08,2580.0,2586.0,2553.6,2568.3,200800,2468.86
2016-02-09,2538.0,2596.0,2515.0,2581.35,120800,2481.41
2016-02-10,2576.9,2578.35,2545.0,2555.6,177400,2456.65
2016-02-11,2556.8,2562.45,2480.95,2496.9,181600,2400.23
2016-02-12,2537.95,2537.95,2453.1,2489.25,401200,2392.87
2016-02-15,2512.0,2539.45,2483.9,2507.35,419100,2410.27
2016-02-16,2521.0,2567.0,2503.8,2512.5,248500,2415.22
2016-02-17,2511.0,2545.0,2438.0,2524.55,303500,2426.81
2016-02-18,2536.0,2627.8,2520.0,2617.75,438500,2516.4
2016-02-19,2617.0,2710.5,2602.65,2706.2,724700,2601.42
2016-02-22,2699.0,2728.8,2674.4,2702.55,273700,2597.92
2016-02-23,2711.0,2712.6,2652.15,2661.15,305400,2558.12
2016-02-24,2657.1,2658.0,2610.0,2621.25,219500,2519.76
2016-02-25,2620.0,2642.35,2594.3,2621.35,293300,2519.86
2016-02-26,2635.95,2649.95,2531.65,2555.4,455700,2456.46
2016-02-29,2546.0,2564.9,2471.1,2499.9,733800,2403.11
2016-03-01,2513.0,2681.85,2506.2,2667.25,865400,2563.98
2016-03-02,2715.0,2859.0,2705.1,2806.7,1278700,2698.03
2016-03-03,2806.7,2849.0,2800.0,2826.0,837400,2716.59
2016-03-04,2805.25,2855.0,2788.2,2835.85,516900,2726.05
2016-03-07,2835.85,2835.85,2835.85,2835.85,0,2726.05
2016-03-08,2840.0,2840.0,2800.5,2809.55,424300,2700.77
2016-03-09,2795.0,2829.95,2790.05,2816.5,398000,2707.45
2016-03-10,2840.0,2850.0,2800.0,2812.4,345300,2703.51
2016-03-11,2795.55,2838.95,2795.55,2813.35,269700,2704.43
2016-03-14,2836.0,2836.0,2800.8,2816.3,394200,2707.26
2016-03-15,2819.95,2837.8,2806.35,2813.05,334100,2704.14
2016-03-16,2802.0,2835.95,2762.5,2798.3,368100,2689.96
2016-03-17,2815.1,2839.0,2805.0,2821.1,247000,2711.88
2016-03-18,2828.9,2839.0,2793.15,2831.0,296800,2721.39
2016-03-21,2804.5,2822.85,2776.95,2799.6,237600,2729.78
2016-03-22,2799.6,2869.6,2752.3,2861.5,837200,2790.13
2016-03-23,2875.0,2914.7,2864.25,2871.4,497200,2799.79
2016-03-24,2871.4,2871.4,2871.4,2871.4,0,2799.79
2016-03-25,2871.4,2871.4,2871.4,2871.4,0,2799.79
2016-03-28,2855.0,2890.0,2832.0,2848.0,453000,2776.97
2016-03-29,2847.0,2880.0,2843.05,2856.85,222100,2785.6
2016-03-30,2869.95,2928.7,2869.95,2923.8,493200,2850.88
2016-03-31,2920.5,2985.95,2919.6,2945.7,1174100,2872.23
2016-04-01,2931.1,2969.45,2923.0,2951.05,348100,2877.45
2016-04-04,2988.0,2988.0,2946.0,2983.7,421600,2909.29
2016-04-05,2960.25,3013.0,2949.95,2963.3,544700,2889.39
2016-04-06,2964.0,3009.0,2963.2,2991.25,400600,2916.65
2016-04-07,2980.4,2987.45,2941.0,2968.0,222700,2893.98
2016-04-08,2966.8,2966.8,2881.7,2915.7,437400,2842.98
2016-04-11,2923.0,2982.0,2908.4,2976.55,284000,2902.31
2016-04-12,2981.7,3065.0,2980.0,3051.45,375300,2975.35
2016-04-13,3041.45,3172.0,3036.5,3148.05,679300,3069.54
2016-04-14,3148.05,3148.05,3148.05,3148.05,0,3069.54
2016-04-15,3148.05,3148.05,3148.05,3148.05,0,3069.54
2016-04-18,3154.95,3159.8,3045.2,3054.5,533600,2978.32
2016-04-19,3054.5,3054.5,3054.5,3054.5,0,2978.32
2016-04-20,3060.0,3079.4,3002.5,3039.1,461600,2963.3
2016-04-21,3079.1,3079.1,2978.45,2986.3,239900,2911.82
2016-04-22,2970.0,3024.35,2952.0,2997.05,437800,2922.3
2016-04-25,2991.0,3023.5,2957.2,2961.8,306100,2887.93
2016-04-26,2950.0,2964.7,2915.9,2931.85,711600,2858.73
2016-04-27,2934.9,2964.3,2932.3,2949.9,612700,2876.33
2016-04-28,2952.8,2952.8,2887.35,2899.65,599400,2827.33
