Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,84.7,85.25,84.0,84.9,2806400,84.3601
2016-01-04,84.2,85.9,80.4,80.75,8706200,80.2365
2016-01-05,82.0,83.95,80.6,82.6,9819000,82.0747
2016-01-06,82.4,82.85,79.7,80.55,6494400,80.0378
2016-01-07,79.0,79.4,76.1,76.65,8098300,76.1626
2016-01-08,77.45,78.15,75.2,76.9,6800900,76.411
2016-01-11,75.8,78.65,74.3,77.9,9706600,77.4046
2016-01-12,78.4,78.65,75.0,75.6,6696100,75.1192
2016-01-13,76.4,77.5,74.3,76.7,8275500,76.2122
2016-01-14,75.0,76.0,73.4,74.7,7864800,74.225
2016-01-15,75.35,75.4,71.15,71.8,5206900,71.3434
2016-01-18,71.05,73.5,70.05,71.2,6814200,70.7472
2016-01-19,72.1,73.9,71.1,71.85,4396700,71.3931
2016-01-20,71.0,71.05,66.35,67.6,8312100,67.1701
2016-01-21,69.0,69.35,66.8,68.3,5883500,67.8657
2016-01-22,69.6,72.9,69.1,72.35,6988000,71.8899
2016-01-25,72.9,73.45,71.8,72.0,3930000,71.5421
2016-01-26,72.0,72.0,72.0,72.0,0,71.5421
2016-01-27,72.5,72.85,70.8,71.05,5960100,70.5982
2016-01-28,71.05,71.4,69.25,69.7,12038400,69.2568
2016-01-29,70.0,71.15,68.75,70.5,9203000,70.0517
2016-02-01,70.85,71.55,70.2,71.1,5582000,70.6479
2016-02-02,71.75,71.8,68.2,68.55,6192700,68.1141
2016-02-03,68.0,68.0,66.3,66.65,6780000,66.2262
2016-02-04,67.8,70.45,67.2,68.7,12083500,68.2631
2016-02-05,69.3,72.2,68.8,71.25,15932600,70.7969
2016-02-08,72.0,72.0,69.45,69.8,10400800,69.3561
2016-02-09,68.5,70.8,67.6,70.0,16969900,69.5549
2016-02-10,70.2,70.5,65.0,66.9,16937000,66.4746
2016-02-11,67.5,67.75,62.95,63.7,7915900,63.2949
2016-02-12,64.8,64.85,58.8,60.9,11171800,60.5127
2016-02-15,62.45,68.45,62.3,67.0,17333300,66.5739
2016-02-16,68.5,68.5,64.55,64.85,9530700,64.4376
2016-02-17,65.2,66.3,61.6,65.8,12113600,65.3816
2016-02-18,67.65,70.1,67.2,68.9,14663300,68.4618
2016-02-19,68.3,70.0,67.45,69.05,6048400,68.6109
2016-02-22,69.15,70.6,68.8,69.5,5132700,69.058
2016-02-23,69.9,71.85,67.8,68.5,10366300,68.0644
2016-02-24,67.6,68.45,66.0,66.4,6136900,65.9777
2016-02-25,67.35,68.0,66.45,67.15,6197800,66.723
2016-02-26,68.2,69.95,66.2,69.45,9806300,69.0083
2016-02-29,70.15,70.8,66.7,68.75,15550700,68.3128
2016-03-01,69.0,70.5,68.6,70.25,8273200,69.8033
2016-03-02,71.9,77.0,71.3,74.95,21643500,74.4734
2016-03-03,76.5,79.8,75.5,79.25,22949500,78.74600000000001
2016-03-04,79.85,81.9,77.6,79.4,15840400,78.8951
2016-03-07,79.4,79.4,79.4,79.4,0,78.8951
2016-03-08,80.3,84.2,80.05,83.15,19055200,82.6212
2016-03-09,80.4,81.4,79.05,81.1,11565400,80.5843
2016-03-10,81.9,85.55,81.55,83.8,18838600,83.2671
2016-03-11,83.9,84.75,81.6,83.5,10301100,82.969
2016-03-14,84.5,86.0,84.2,84.9,6642400,84.3601
2016-03-15,85.0,86.0,83.6,83.9,11700000,83.3665
2016-03-16,84.0,84.25,79.35,81.5,13890500,80.9817
2016-03-17,82.5,83.8,80.7,81.0,8476000,80.4849
2016-03-18,82.4,85.5,82.0,85.2,14366100,84.6582
2016-03-21,85.7,87.0,84.3,86.0,12324100,85.4531
2016-03-22,85.9,88.0,84.85,87.0,12800700,86.4467
2016-03-23,88.0,91.7,87.9,91.3,22685600,90.7194
2016-03-24,91.3,91.3,91.3,91.3,0,90.7194
2016-03-25,91.3,91.3,91.3,91.3,0,90.7194
2016-03-28,92.5,92.5,82.55,83.25,20101900,82.7206
2016-03-29,83.9,86.15,83.5,84.4,14305500,83.8633
