Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,860.0,862.0,853.5,856.55,230300,840.11
2016-01-04,856.55,868.7,851.15,859.0,828800,842.513
2016-01-05,857.3,859.05,845.5,847.95,1118700,831.675
2016-01-06,850.0,850.0,840.95,843.05,2135000,826.8689999999999
2016-01-07,840.0,840.95,817.5,820.25,1353900,804.507
2016-01-08,819.0,831.5,807.7,809.85,1324000,794.306
2016-01-11,806.0,819.7,801.35,811.75,1514500,796.17
2016-01-12,808.5,822.15,804.55,819.7,1110000,803.967
2016-01-13,821.8,836.2,813.75,832.75,1338300,816.7669999999999
2016-01-14,829.5,837.9,818.55,827.25,1531000,811.372
2016-01-15,827.25,828.95,776.65,804.25,3249800,788.814
2016-01-18,796.3,816.65,795.0,809.95,1525500,794.404
2016-01-19,813.0,821.75,807.65,810.45,867200,794.895
2016-01-20,805.0,815.0,785.0,795.05,1543500,779.79
2016-01-21,797.2,799.0,774.2,775.6,1679100,760.7139999999999
2016-01-22,780.5,783.5,770.0,771.5,1465100,756.692
2016-01-25,772.0,784.75,769.7,783.3,1036800,768.2660000000001
2016-01-26,783.3,783.3,783.3,783.3,0,768.2660000000001
2016-01-27,781.0,783.85,766.4,767.9,1291100,753.1619999999999
2016-01-28,769.8,797.0,766.5,791.75,1967400,776.554
2016-01-29,791.1,820.0,791.1,816.9,1733600,801.221
2016-02-01,816.0,817.4,799.0,800.95,1025800,785.577
2016-02-02,809.5,809.95,796.95,800.1,960200,784.743
2016-02-03,795.5,828.5,795.5,821.6,1843000,805.831
2016-02-04,824.5,838.4,816.55,834.8,1698700,818.7769999999999
2016-02-05,830.0,855.5,830.0,844.95,2043400,828.7330000000001
2016-02-08,844.0,848.2,826.45,828.9,490400,812.9910000000001
2016-02-09,826.35,842.15,824.7,826.35,964600,810.49
2016-02-10,826.0,832.1,820.1,824.55,781000,808.7239999999999
2016-02-11,823.9,828.0,791.2,802.6,1010200,787.195
2016-02-12,800.5,816.7,795.0,812.6,1318400,797.0039999999999
2016-02-15,817.0,821.95,798.0,804.7,1206900,789.255
2016-02-16,810.0,811.85,799.45,803.2,926000,787.784
2016-02-17,800.5,814.0,789.75,812.55,783600,796.955
2016-02-18,814.05,830.5,812.5,827.4,1179000,811.52
2016-02-19,831.85,831.85,813.45,827.6,620200,811.716
2016-02-22,827.0,866.0,826.35,861.65,1883600,845.112
2016-02-23,858.45,858.45,834.2,836.85,590700,820.788
2016-02-24,836.9,844.9,828.2,836.75,1062100,820.69
2016-02-25,837.7,846.2,832.4,842.8,859800,826.6239999999999
2016-02-26,848.0,852.65,841.1,849.9,1191400,833.5880000000001
2016-02-29,851.0,851.7,823.5,830.4,1974900,814.462
2016-03-01,829.85,829.85,818.1,824.15,1777300,808.332
2016-03-02,830.0,855.0,830.0,849.25,1221700,832.95
2016-03-03,855.5,856.1,845.75,848.9,746300,832.607
2016-03-04,848.5,855.9,841.45,848.75,1331500,832.46
2016-03-07,848.75,848.75,848.75,848.75,0,832.46
2016-03-08,848.0,848.0,824.0,826.25,1342300,810.3919999999999
2016-03-09,826.55,843.9,826.55,839.65,1929600,823.534
2016-03-10,837.0,841.0,829.0,837.55,1140100,821.475
2016-03-11,842.0,857.95,831.5,851.6,1527600,835.255
2016-03-14,855.05,860.0,845.0,857.15,825300,840.699
2016-03-15,852.1,856.8,835.55,840.8,1330600,824.6619999999999
2016-03-16,844.9,845.85,831.0,844.15,1511400,827.948
2016-03-17,848.1,855.0,843.0,849.65,1970900,833.342
2016-03-18,850.0,852.0,838.0,848.35,1848200,832.067
2016-03-21,847.1,883.0,847.1,879.65,1587500,862.7669999999999
2016-03-22,876.05,880.65,862.4,870.15,2024600,853.449
2016-03-23,870.0,877.35,860.55,873.6,1373500,856.8330000000001
2016-03-24,873.6,873.6,873.6,873.6,0,856.8330000000001
2016-03-25,873.6,873.6,873.6,873.6,0,856.8330000000001
2016-03-28,876.0,876.1,860.2,863.65,2033100,847.074
2016-03-29,860.3,871.35,858.6,861.15,1389800,844.622
2016-03-30,862.0,878.95,858.9,861.65,1453600,845.112
2016-03-31,855.5,875.7,855.5,869.5,2635900,852.811
2016-04-01,867.1,874.9,856.0,867.8,1096400,851.1439999999999
2016-04-04,863.1,874.95,861.3,872.2,960100,855.46
2016-04-05,870.2,882.85,862.3,868.5,1096800,851.831
2016-04-06,869.0,872.9,863.0,871.7,1041600,854.9689999999999
2016-04-07,870.0,874.85,855.05,860.0,848000,843.4939999999999
2016-04-08,861.0,863.0,845.8,850.4,712400,834.078
2016-04-11,853.0,867.85,845.1,864.3,943700,847.711
2016-04-12,866.9,874.4,860.2,872.5,867400,855.7539999999999
2016-04-13,875.0,899.6,873.5,897.7,1897500,880.47
2016-04-14,897.7,897.7,897.7,897.7,0,880.47
2016-04-15,897.7,897.7,897.7,897.7,0,880.47
2016-04-18,900.2,904.95,886.5,899.15,1091500,881.8919999999999
2016-04-19,899.15,899.15,899.15,899.15,0,881.8919999999999
2016-04-20,899.1,906.0,893.15,904.1,1424800,886.747
2016-04-21,905.0,906.9,896.0,904.05,1162800,886.698
2016-04-22,897.8,904.3,883.0,884.2,1078300,867.2289999999999
2016-04-25,880.5,889.0,875.5,884.15,828000,867.18
2016-04-26,881.6,896.0,880.7,885.75,1214600,868.75
2016-04-27,884.4,894.0,880.9,892.2,778600,875.076
2016-04-28,893.2,896.8,871.0,876.25,2715400,859.432
2016-04-29,876.0,879.35,859.2,867.9,1581200,851.242
2016-05-02,867.0,867.0,855.0,863.95,787100,847.368
2016-05-03,863.95,869.0,848.0,851.0,1305300,834.6669999999999
2016-05-04,850.0,855.9,844.0,853.4,568400,837.0210000000001
2016-05-05,859.0,861.9,846.8,850.15,760800,833.8330000000001
2016-05-06,848.0,856.5,846.75,853.4,411200,837.0210000000001
2016-05-09,851.0,869.7,839.2,845.5,3215700,829.2719999999999
2016-05-10,848.8,867.9,845.6,862.45,1523200,845.8969999999999
2016-05-11,855.0,866.8,851.1,862.55,697200,845.995
2016-05-12,858.4,862.0,849.35,853.0,730600,836.628
2016-05-13,852.95,852.95,821.95,831.8,2369600,815.835
2016-05-16,833.0,848.5,817.0,846.25,1940100,830.008
2016-05-17,850.0,850.35,831.0,834.05,1434000,818.0419999999999
2016-05-18,833.7,834.55,823.0,825.5,1428400,809.6560000000001
2016-05-19,826.1,829.85,810.35,815.1,1866700,799.456
2016-05-20,820.0,821.0,806.15,812.4,1624600,796.807
2016-05-23,817.0,825.75,813.05,819.6,1118700,803.8689999999999
2016-05-24,819.0,824.45,815.45,823.1,946700,807.302
2016-05-25,828.0,841.45,827.05,840.1,1127600,823.9760000000001
2016-05-26,840.2,854.0,832.0,850.35,2479300,834.029
2016-05-27,851.35,865.95,850.5,861.2,1531200,844.671
2016-05-30,864.0,867.2,849.75,854.35,776200,837.952
2016-05-31,857.8,859.9,845.0,848.2,12132000,831.92
2016-06-01,852.15,863.4,846.05,855.15,1223700,838.737
2016-06-02,855.0,873.95,835.0,868.2,3409300,851.5360000000001
2016-06-03,872.0,888.0,869.4,884.85,1752200,867.867
2016-06-06,887.6,892.0,875.05,879.35,1941200,862.472
2016-06-07,884.0,898.8,880.4,897.05,2185900,879.8330000000001
2016-06-08,895.0,908.0,891.6,897.2,1470400,879.98
2016-06-09,899.0,899.0,874.45,876.45,1376900,859.628
2016-06-10,876.0,884.8,871.15,874.65,793100,857.863
2016-06-13,867.35,880.95,867.35,874.2,1071800,857.421
2016-06-14,872.1,875.2,860.3,865.7,826200,849.084
2016-06-15,868.0,876.6,863.0,874.65,863200,857.863
2016-06-16,871.85,880.85,859.15,879.45,803700,862.571
2016-06-17,883.95,884.7,872.5,881.35,849700,864.434
