Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,261.3,263.6,258.0,263.0,5452800,257.7
2016-01-04,261.0,261.35,254.65,255.55,8577900,250.4
2016-01-05,256.25,257.5,251.7,256.7,8151700,251.52
2016-01-06,255.4,256.75,249.2,250.1,15832800,245.06
2016-01-07,246.4,247.7,243.1,246.75,16582400,241.77
2016-01-08,244.5,247.8,243.45,245.05,13094900,240.11
2016-01-11,241.9,243.9,238.05,239.45,12916900,234.62
2016-01-12,241.0,241.85,235.6,236.75,10814400,231.98
2016-01-13,237.8,242.9,231.1,239.5,16559700,234.67
2016-01-14,234.2,239.8,231.8,235.75,13273400,231.0
2016-01-15,235.6,236.3,221.75,224.45,20303500,219.92
2016-01-18,224.2,228.7,217.8,223.1,27490000,218.6
2016-01-19,224.65,231.25,224.65,228.75,14747600,224.14
2016-01-20,224.9,227.9,220.1,224.4,13048600,219.87
2016-01-21,228.5,233.5,224.2,226.3,14241600,221.74
2016-01-22,232.6,234.9,229.8,232.75,13771300,228.06
2016-01-25,235.95,238.5,234.2,236.05,15579300,231.29
2016-01-26,236.05,236.05,236.05,236.05,0,231.29
2016-01-27,238.0,239.3,234.7,237.3,11050500,232.51
2016-01-28,238.55,239.55,231.25,233.2,22052800,228.5
2016-01-29,219.0,234.3,219.0,230.15,43414000,225.51
2016-02-01,227.0,227.35,215.9,217.2,36723300,212.82
2016-02-02,218.0,219.7,209.7,210.4,28928500,206.16
2016-02-03,207.0,208.8,202.55,204.05,21447500,199.94
2016-02-04,206.4,206.4,200.5,203.95,28062800,199.84
2016-02-05,205.5,211.0,203.6,209.4,32899400,205.18
2016-02-08,211.0,215.5,206.15,208.55,17605500,204.34
2016-02-09,204.0,211.5,200.75,209.4,19006000,205.18
2016-02-10,203.1,209.5,202.0,207.25,20674600,203.07
2016-02-11,203.75,206.95,198.0,199.25,28924600,195.23
2016-02-12,196.6,198.4,190.5,193.55,37977700,189.65
2016-02-15,193.9,207.3,193.9,203.5,31027500,199.4
2016-02-16,207.0,207.0,195.5,196.6,18996300,192.64
2016-02-17,196.5,197.15,188.85,190.75,26174600,186.9
2016-02-18,193.5,199.0,193.2,196.15,29327500,192.19
2016-02-19,195.8,201.45,195.25,198.8,16015800,194.79
2016-02-22,197.5,201.3,196.45,198.45,15970700,194.45
2016-02-23,199.4,199.4,190.25,192.0,18183600,188.13
2016-02-24,189.0,191.2,185.85,187.0,18777200,183.23
2016-02-25,187.7,189.0,181.55,183.0,34855100,179.31
2016-02-26,184.3,185.95,180.75,184.8,22443400,181.07
2016-02-29,184.8,195.9,181.7,190.05,39554900,186.22
2016-03-01,195.25,206.45,195.25,204.95,24748800,200.82
2016-03-02,211.7,221.4,211.1,220.0,37060500,215.56
2016-03-03,218.6,220.3,214.2,218.0,20821500,213.6
2016-03-04,221.75,224.4,219.05,220.5,22267000,216.05
2016-03-07,220.5,220.5,220.5,220.5,0,216.05
2016-03-08,219.95,219.95,214.3,216.85,17166300,212.48
2016-03-09,212.8,217.9,210.05,216.35,15727800,211.99
2016-03-10,218.0,218.85,214.6,215.5,12319300,211.15
2016-03-11,213.35,218.55,212.6,213.85,13526900,209.54
2016-03-14,219.0,222.8,218.65,221.65,15206100,217.18
2016-03-15,222.8,224.85,220.5,221.35,12250500,216.89
2016-03-16,219.9,227.4,218.55,226.4,15586200,221.83
2016-03-17,230.0,236.25,224.95,227.75,29446400,223.16
2016-03-18,228.2,231.45,226.15,230.2,16700800,225.56
2016-03-21,231.55,235.6,231.45,234.85,13471200,230.11
2016-03-22,234.6,234.6,230.6,233.6,11153800,228.89
2016-03-23,231.45,235.0,230.8,234.2,15443200,229.48
2016-03-24,234.2,234.2,234.2,234.2,0,229.48
2016-03-25,234.2,234.2,234.2,234.2,0,229.48
2016-03-28,234.0,234.0,223.9,225.45,18376500,220.9
2016-03-29,223.3,226.95,222.4,223.4,18588800,218.9
2016-03-30,228.5,239.0,226.8,237.5,20923900,232.71
2016-03-31,238.2,241.35,233.7,236.65,27831000,231.88
2016-04-01,236.0,239.45,232.7,238.3,14252100,233.49
2016-04-04,240.25,241.05,234.65,238.75,15196800,233.94
2016-04-05,236.4,237.5,225.0,225.6,24133900,221.05
2016-04-06,227.3,228.0,220.1,222.55,17441700,218.06
2016-04-07,222.8,224.25,219.15,220.3,16113200,215.86
2016-04-08,220.55,223.8,219.55,221.25,9078900,216.79
2016-04-11,222.2,225.2,219.1,224.7,18012600,220.17
2016-04-12,224.3,230.9,223.8,228.75,18722000,224.14
2016-04-13,233.1,244.2,233.05,240.65,23894000,235.8
2016-04-14,240.65,240.65,240.65,240.65,0,235.8
2016-04-15,240.65,240.65,240.65,240.65,0,235.8
2016-04-18,243.5,243.95,234.6,237.15,15937800,232.37
2016-04-19,237.15,237.15,237.15,237.15,0,232.37
2016-04-20,239.1,239.6,234.1,238.05,16954900,233.25
2016-04-21,246.25,257.8,246.25,253.05,33362800,247.95
2016-04-22,256.25,257.0,250.2,252.0,23531300,246.92
2016-04-25,253.1,255.35,251.15,252.95,16474200,247.85
2016-04-26,250.85,254.7,246.5,254.05,27441300,248.93
2016-04-27,250.9,251.0,243.25,244.6,33575200,239.67
2016-04-28,245.4,248.0,239.0,240.1,37624000,235.26
2016-04-29,240.75,244.4,231.3,236.95,64719400,232.17
2016-05-02,227.3,230.5,225.4,226.75,33127700,222.18
2016-05-03,225.75,230.0,220.0,221.1,26641400,216.64
2016-05-04,218.45,220.8,213.45,214.45,33437900,210.13
2016-05-05,214.3,219.9,213.75,214.65,25011500,210.32
2016-05-06,214.0,220.25,213.2,218.6,20241900,214.19
2016-05-09,219.6,226.0,219.1,225.3,17279000,220.76
