Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,428.0,428.05,421.5,427.05,162000,407.42
2016-01-04,427.05,433.6,420.05,430.05,742700,410.29
2016-01-05,431.0,434.0,418.15,421.2,1439300,401.84
2016-01-06,421.35,426.1,409.0,410.4,2759300,391.54
2016-01-07,410.4,414.15,397.25,399.6,1905000,381.24
2016-01-08,399.75,411.9,394.65,400.2,2344600,381.81
2016-01-11,396.2,402.4,386.55,395.05,1279400,376.9
2016-01-12,395.35,399.05,385.3,395.25,2959300,377.09
2016-01-13,400.45,405.9,395.1,397.8,826000,379.52
2016-01-14,391.0,398.25,385.0,395.25,1472200,377.09
2016-01-15,395.2,397.9,385.75,388.25,1464600,370.41
2016-01-18,388.0,390.4,362.55,379.6,1651100,362.16
2016-01-19,370.05,378.65,370.0,374.15,1254100,356.96
2016-01-20,372.3,374.9,349.75,353.7,1908700,337.45
2016-01-21,356.25,370.05,353.5,362.55,2866500,345.89
2016-01-22,363.05,366.75,354.0,362.65,2732700,345.98
2016-01-25,365.5,376.05,364.5,367.25,2164700,350.37
2016-01-26,367.25,367.25,367.25,367.25,0,350.37
2016-01-27,368.0,389.1,366.8,382.7,3239800,365.11
2016-01-28,374.0,377.9,360.85,369.35,4207800,352.38
2016-01-29,370.0,370.0,359.1,361.2,1300200,344.6
2016-02-01,367.7,372.4,345.2,369.65,1962800,352.66
2016-02-02,376.2,376.95,362.85,367.4,1087100,350.52
2016-02-03,363.1,369.75,354.2,356.2,2146900,339.83
2016-02-04,360.3,361.5,355.05,356.2,1625400,339.83
2016-02-05,356.05,366.7,355.25,363.75,1427700,347.03
2016-02-08,364.0,369.6,360.05,366.45,534600,349.61
2016-02-09,362.0,364.8,356.0,357.55,1131300,341.12
2016-02-10,357.0,362.65,350.0,354.6,1216000,338.3
2016-02-11,352.5,370.0,352.5,356.0,929600,339.64
2016-02-12,360.0,390.9,358.5,384.1,2745000,366.45
2016-02-15,385.0,392.6,380.4,388.0,1314000,370.17
2016-02-16,386.2,393.9,356.0,362.75,2279700,346.08
2016-02-17,366.8,366.8,349.4,352.6,2659600,336.4
2016-02-18,358.4,366.0,358.05,363.85,2006300,347.13
2016-02-19,366.6,375.35,359.55,371.7,2089000,354.62
2016-02-22,376.0,377.1,368.0,375.35,1561300,358.1
