Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,1836.1,1859.0,1832.2,1845.25,238400,1837.115
2016-01-04,1830.0,1837.85,1786.4,1795.15,649100,1787.236
2016-01-05,1813.3,1813.3,1773.0,1783.05,873300,1775.1889999999999
2016-01-06,1775.0,1786.55,1741.5,1753.2,628100,1745.471
2016-01-07,1749.95,1769.9,1708.4,1717.5,780300,1709.9279999999999
2016-01-08,1722.4,1746.35,1702.75,1712.85,752100,1705.299
2016-01-11,1707.8,1715.0,1690.05,1700.95,597200,1693.451
2016-01-12,1704.0,1718.5,1692.0,1700.1,1323600,1692.605
2016-01-13,1715.0,1721.05,1646.2,1666.15,979000,1658.805
2016-01-14,1650.0,1725.0,1636.0,1717.5,1433200,1709.9279999999999
2016-01-15,1718.0,1725.0,1695.0,1701.1,732500,1693.601
2016-01-18,1695.05,1734.6,1680.0,1702.55,955500,1695.0439999999999
2016-01-19,1706.0,1724.9,1695.0,1699.75,505800,1692.257
2016-01-20,1687.0,1720.0,1680.0,1691.05,783700,1683.595
2016-01-21,1703.0,1705.0,1679.0,1685.9,960700,1678.4679999999998
2016-01-22,1695.0,1728.0,1691.45,1721.25,420000,1713.662
2016-01-25,1731.0,1737.4,1697.0,1699.05,473300,1691.56
2016-01-26,1699.05,1699.05,1699.05,1699.05,0,1691.56
2016-01-27,1714.95,1725.0,1660.0,1689.15,845200,1681.703
2016-01-28,1681.05,1720.0,1680.0,1706.35,1004100,1698.8270000000002
2016-01-29,1696.25,1721.15,1691.4,1710.75,1027800,1703.2079999999999
2016-02-01,1750.0,1756.45,1698.0,1702.55,1223700,1695.0439999999999
2016-02-02,1703.0,1734.6,1700.0,1705.8,958300,1698.28
2016-02-03,1700.0,1713.75,1682.15,1698.85,557200,1691.361
2016-02-04,1700.0,1719.9,1617.1,1652.8,1417500,1645.514
2016-02-05,1652.0,1817.0,1603.0,1802.85,4292300,1794.902
2016-02-08,1815.0,1849.0,1781.05,1820.9,1698900,1812.8729999999998
2016-02-09,1791.0,1911.9,1791.0,1905.65,2477600,1897.249
2016-02-10,1886.3,1905.0,1842.5,1852.95,1958000,1844.781
2016-02-11,1845.0,1874.8,1784.0,1791.15,1234500,1783.254
2016-02-12,1810.0,1810.0,1725.15,1756.3,970400,1748.557
2016-02-15,1780.0,1837.3,1775.75,1798.45,1038600,1790.521
2016-02-16,1795.1,1813.0,1746.4,1750.45,1086300,1742.733
2016-02-17,1762.0,1767.1,1693.2,1730.4,1581500,1722.771
2016-02-18,1745.0,1784.7,1732.0,1776.75,827700,1768.9170000000001
2016-02-19,1773.5,1803.0,1741.6,1788.95,869600,1781.0629999999999
2016-02-22,1785.0,1817.55,1781.0,1810.55,699700,1802.568
2016-02-23,1820.0,1820.1,1764.0,1778.2,589200,1770.361
2016-02-24,1773.7,1780.0,1737.9,1761.4,622000,1753.635
2016-02-25,1766.0,1798.2,1741.5,1760.1,963400,1752.3410000000001
2016-02-26,1775.1,1786.0,1718.05,1726.75,858200,1719.138
2016-02-29,1742.8,1775.0,1695.0,1754.55,837100,1746.815
2016-03-01,1760.0,1782.0,1735.1,1761.5,728900,1753.734
2016-03-02,1776.0,1819.0,1760.0,1781.9,947800,1774.0439999999999
2016-03-03,1796.0,1812.0,1765.55,1784.0,781200,1776.135
