Date,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BANKBARODA.NS,BHEL.NS,BPCL.NS,BHARTIARTL.NS,BOSCHLTD.NS,AUROPHARMA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,HDFC.NS,ITC.NS,ICICIBANK.NS,IDEA.NS,INDUSINDBK.NS,INFY.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,INFRATEL.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TECHM.NS,EICHERMOT.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS,TATAMTRDVR.NS
2016-01-01,1346.82,266.34,202.13103,874.0851,445.73,159.05,169.11700000000005,407.1072,339.163,19060.82,878.1661,653.09208,287.25,3074.0181,357.8180000000001,735.52,814.5017,1079.89,2582.05,84.3601,840.11,1239.2293,212.40828,257.7,143.2,959.87,1080.93613,726.7808,1273.5408,1837.115,4606.46,138.96,151.9734,138.39,407.42,1004.9157,224.8467,814.5034,2366.535,401.7373,66.56221,251.728,513.862,17276.17,547.99647,725.31,428.716,296.31
2016-01-04,1317.75,256.79,198.69092,876.1243,434.34,151.2,163.477,405.0172,325.517,18680.18,841.2022,643.42555,283.94,3022.0032,348.1891,713.95,814.5981,1061.79,2535.67,80.2365,842.513,1198.117,210.8517,250.4,135.6,930.35,1055.16582,704.845,1240.6947,1787.236,4549.01,137.81,149.1843,138.34,410.29,985.0718,217.8388,798.0745,2320.701,376.8973,65.88645,251.2391,510.2554,17399.99,549.22748,698.87,417.872,277.83
2016-01-05,1315.11,254.55,200.50927,895.8689,432.41,148.1,164.565,410.1058,322.18,18498.5,860.3317,638.6420400000002,280.15,3036.4901,360.2373,714.31,811.5648,1053.75,2515.53,82.0747,831.675,1190.9285,210.69021,251.52,135.35,931.39,1050.42253,707.2934,1241.6332,1775.189,4535.41,136.8,151.5654,136.58,401.84,994.8206,214.927,799.47273,2300.4770000000008,374.2984,66.94835,268.2556,515.69,17066.42,548.43965,700.8,420.942,278.68
2016-01-06,1294.57,250.66,199.57553,881.6946,426.71,148.7,163.922,414.4901,320.935,18586.96,864.0182,649.8532799999998,281.96,3012.3617,360.6728,713.0,810.2167,1058.41,2478.38,80.0378,826.8689999999998,1190.8301,204.36659,245.06,134.5,940.06,1045.82585,703.1460000000002,1221.8267,1745.471,4449.85,136.03,148.8712,136.92,391.54,1021.5926,214.0387,790.93371,2332.453,365.7519,66.41741,262.8279,518.8519,17429.63,546.66695,696.99,419.06,273.19
2016-01-07,1275.1,243.89,194.21879,867.7191,405.46,139.5,152.14600000000004,401.746,321.085,18175.05,838.4125,635.25379,280.67,2958.5174,358.6406,694.42,794.4726,1047.6,2422.53,76.1626,804.507,1161.4359,200.79909,241.77,133.4,921.68,1027.684,691.2038,1191.7466,1709.928,4238.42,132.56,142.0089,135.55,381.24,1002.8373,206.8333,782.79415,2322.317,343.4109,64.05225,244.3933,504.722,16942.89,541.4967,672.23,411.385,256.75
2016-01-08,1270.5,240.31,194.95596,869.9572,409.87,140.45,151.998,410.5147,322.579,18092.35,841.5509,620.20578,276.11,2977.2071,361.1567,698.03,797.6503,1053.7,2393.26,76.411,794.306,1156.4631,203.42584,240.11,133.1,943.14,1039.9090199999996,694.6515,1164.7781,1705.299,4185.64,134.2,144.2331,139.03,381.81,1015.2089,206.2411,793.1309,2348.123,353.207,66.32086,248.0118,515.937,17147.47,547.35632,686.94,407.721,264.45
2016-01-11,1272.21,232.99,194.56279,869.2111,413.33,139.1,147.891,403.4725,319.889,17977.98,829.9437,607.94817,271.68,2898.8882,357.3825,707.09,784.3618,1049.98,2408.45,77.4046,796.17,1143.8094,204.98241,234.62,129.8,932.89,1032.47611,700.3978,1159.098,1693.451,4242.89,136.17,141.3189,140.6,376.9,1040.7932,201.6514,781.24615,2313.6,360.0542,64.82454,246.1048,501.2637,17145.19,529.28512,687.73,405.641,271.54
2016-01-12,1255.4,236.18,191.85985,868.2662,402.34,134.5,149.079,404.4266,314.1620000000001,18001.21,837.6652,609.34337,271.73,2890.73,354.0438,692.94,780.0286,1038.43,2371.68,75.1192,803.967,1134.2575,204.3987,231.98,125.85,909.48,1026.8526,691.5535,1164.8276,1692.605,4239.52,139.63,138.7188,140.11,377.09,1034.7064,196.8149,787.1386,2279.029,354.8563,64.67974,240.3348,501.3625,16973.83,540.56118,666.39,403.116,269.99
2016-01-13,1256.92,229.16,194.56279,863.9393,402.93,132.1,146.654,407.039,307.389,17872.14,826.2572,606.55303,272.84,2858.7893,351.189,688.52,795.7726,1051.52,2377.93,76.2122,816.7669999999998,1149.8162,204.78784,234.67,121.1,932.54,1059.56682,688.7054,1142.6996,1658.805,4261.61,138.72,139.8779,140.26,379.52,1065.7837,198.2955,795.5777099999998,2232.166,364.4524,63.42476,241.166,498.4476,16969.75,538.19762,676.04,410.246,273.44
2016-01-14,1244.27,226.77,194.56279,884.6786,386.98,130.9,142.15200000000004,413.1726,307.538,17920.39,833.4308,612.18352,274.01,2882.5718,346.0117,683.1,798.1318,1041.2,2343.18,74.225,811.372,1141.5937,205.7607,231.0,119.3,913.22,1108.07567,683.6586,1120.8681,1709.928,4218.91,137.71,139.9089,140.21,377.09,1050.74,193.5083,790.8338,2231.774,354.1566,62.50766,233.489,507.884,16895.45,536.96661,667.63,412.029,267.49
2016-01-15,1205.59,217.27,190.58209,874.5825,370.78,126.15,134.977,423.6904,304.898,17738.81,811.7606,607.00143,273.92,2903.2392,325.012,683.97,806.9908,1033.67,2333.75,71.3434,788.814,1132.2388,203.5883,219.92,112.75,917.75,1114.82391,675.1641,1094.443,1693.601,4243.84,131.22,137.5278,136.53,370.41,1062.2703,181.9107,786.0899,2214.44,341.1618,59.61155,224.6384,514.356,16152.32,534.84925,657.23,398.511,257.65
2016-01-18,1200.34,218.31,187.83001,845.7862,369.74,125.7,140.618,407.357,299.071,17715.48,797.1643,589.01363,267.3,2842.9178,328.4958,683.45,811.1315,1017.5,2341.25,70.7472,794.404,1114.5138,204.56116,218.6,111.45,895.39,1106.99989,666.9694,1070.3888,1695.044,4206.94,129.44,134.3627,135.59,362.16,1006.4003,178.6534,783.9427,2230.648,340.0623,59.51501,230.7018,511.2435,15375.28,538.83777,649.6,390.093,256.75
