Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,146.3,146.3,144.1,144.5,906600,138.96
2016-01-04,143.25,147.0,142.85,143.3,1383400,137.81
2016-01-05,144.7,145.65,142.0,142.25,1819500,136.8
2016-01-06,142.0,142.9,140.05,141.45,2129600,136.03
2016-01-07,140.9,140.9,137.05,137.85,3664300,132.56
2016-01-08,138.2,140.2,137.1,139.55,4166800,134.2
2016-01-11,137.25,142.95,137.25,141.6,7996400,136.17
2016-01-12,143.5,145.9,142.75,145.2,4442800,139.63
2016-01-13,145.9,146.95,141.3,144.25,5279400,138.72
2016-01-14,142.9,144.6,140.3,143.2,2181100,137.71
2016-01-15,143.9,144.5,135.65,136.45,4844500,131.22
2016-01-18,135.9,138.55,133.25,134.6,5912300,129.44
2016-01-19,135.4,138.15,134.4,135.15,2730000,129.97
2016-01-20,134.3,134.8,130.8,132.2,4078200,127.13
2016-01-21,132.9,135.3,132.3,133.0,3060300,127.9
2016-01-22,135.05,139.3,134.15,138.15,3401300,132.85
2016-01-25,139.5,139.7,136.35,137.95,2706700,132.66
2016-01-26,137.95,137.95,137.95,137.95,0,132.66
2016-01-27,139.8,144.6,138.45,143.75,5385100,138.24
2016-01-28,143.1,145.35,143.1,144.25,9123200,138.72
2016-01-29,144.0,146.7,140.4,142.45,8003600,136.99
2016-02-01,142.0,144.15,139.8,140.25,3977300,134.87
2016-02-02,140.0,140.5,132.75,134.05,4616700,128.91
2016-02-03,131.55,133.8,127.25,128.65,4507500,123.72
2016-02-04,130.0,131.1,124.6,125.9,7456600,121.07
2016-02-05,124.95,126.6,124.0,124.8,2431000,121.56
2016-02-08,124.8,125.9,122.75,123.25,2148800,120.05
2016-02-09,121.2,126.5,121.2,125.85,2358200,122.58
2016-02-10,125.0,126.2,123.7,124.75,2589000,121.51
2016-02-11,124.75,124.95,120.25,120.95,2455400,117.81
2016-02-12,121.0,125.75,120.15,123.95,3405300,120.73
2016-02-15,125.2,127.25,123.45,124.8,3715200,121.56
2016-02-16,126.75,131.1,124.2,127.75,5056600,124.43
2016-02-17,128.35,129.95,125.8,128.0,3489100,124.68
2016-02-18,129.45,130.25,125.25,127.5,2186000,124.19
2016-02-19,127.45,130.7,127.0,129.8,1505400,126.43
2016-02-22,132.85,132.85,126.05,127.0,2252800,123.7
2016-02-23,123.25,125.0,122.7,123.8,9645500,120.59
2016-02-24,121.8,122.2,118.3,118.65,18069400,115.57
2016-02-25,117.1,119.15,116.9,118.5,33751900,115.42
2016-02-26,119.0,122.0,118.1,121.55,7030400,118.39
2016-02-29,121.9,121.9,117.75,119.5,5243100,116.4
2016-03-01,120.0,123.0,119.3,122.85,3993500,119.66
2016-03-02,123.7,127.75,122.3,126.8,5983700,123.51
2016-03-03,128.0,128.85,125.95,126.4,3468200,123.12
2016-03-04,127.5,127.65,124.0,126.05,6163300,122.78
2016-03-07,126.05,126.05,126.05,126.05,0,122.78
2016-03-08,126.0,128.0,124.5,127.55,3501700,124.24
2016-03-09,127.3,127.7,126.1,126.55,3610300,123.26
2016-03-10,126.6,128.0,126.4,126.8,3393300,123.51
2016-03-11,126.8,128.75,125.65,126.4,2070500,123.12
2016-03-14,126.75,127.8,126.05,127.4,1829400,124.09
2016-03-15,127.7,127.9,126.0,127.3,2045200,123.99
2016-03-16,127.7,128.15,126.65,127.55,5037500,124.24
