Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,239.8995,243.4005,238.0995,242.5005,2771900,151.9734
2016-01-04,241.0005,244.8,235.65,238.05,3125100,149.1843
2016-01-05,240.0,244.2495,239.0505,241.8495,3646300,151.5654
2016-01-06,241.9995,242.2995,234.6495,237.5505,3007200,148.8712
2016-01-07,231.0,233.8995,224.0505,226.6005,7609300,142.0089
2016-01-08,228.0,231.7995,225.6495,230.1495,6898300,144.2331
2016-01-11,226.0005,227.25,222.15,225.4995,6413300,141.3189
2016-01-12,223.9995,224.2995,220.0005,221.3505,5543600,138.7188
2016-01-13,223.0005,223.95,217.5495,223.2,5384500,139.8779
2016-01-14,220.95,225.4995,216.6,223.2495,6523500,139.9089
2016-01-15,224.4,224.4,217.8,219.45,4512500,137.5278
2016-01-18,217.0005,217.9995,211.2495,214.3995,5734000,134.3627
2016-01-19,215.5995,219.4005,211.5,217.9995,3797900,136.6187
2016-01-20,214.0995,215.1,209.2005,213.3,6518900,133.6736
2016-01-21,213.6495,214.7505,205.95,207.3,8879500,129.9134
2016-01-22,211.95,217.0005,209.8005,216.2505,7253700,135.5227
2016-01-25,220.3995,221.25,216.5505,219.6495,4864000,137.6528
2016-01-26,219.6495,219.6495,219.6495,219.6495,0,137.6528
2016-01-27,219.7005,221.7495,217.0005,218.4,6744000,136.8698
2016-01-28,217.9995,220.8,215.25,219.9,8761000,137.8098
2016-01-29,221.2995,227.85,220.9995,226.2495,12759700,141.789
2016-02-01,227.8005,227.8005,221.55,225.0495,3822700,141.0369
2016-02-02,222.1995,224.4,215.4,216.5505,6900400,135.7107
2016-02-03,213.7005,217.0005,210.3,213.0495,4843900,133.5166
2016-02-04,217.9005,220.5,216.2505,220.0005,6016500,137.8728
2016-02-05,220.3005,221.85,217.5495,219.9495,5710600,137.8408
2016-02-08,220.0005,220.2,211.65,214.05,2764100,134.1436
2016-02-09,210.9,219.5505,210.4995,218.1495,3651700,136.7128
2016-02-10,213.8505,216.0,210.7995,213.4995,4066700,133.7986
2016-02-11,213.7995,213.9,200.0505,203.1495,8787000,127.3124
2016-02-12,199.9995,199.9995,187.7505,193.2495,10102600,121.1081
2016-02-15,198.6,201.1995,194.6505,200.3505,7157800,125.5583
2016-02-16,203.6505,206.1,198.1005,199.95,10491000,125.3073
2016-02-17,199.9995,202.0005,197.2005,200.3505,7290000,125.5583
2016-02-18,203.6505,210.6,202.9995,209.1,7799600,131.0415
2016-02-19,206.9505,212.1,205.9995,211.1505,5419000,132.3265
2016-02-22,211.9995,215.1,210.7005,214.3995,3601800,134.3627
2016-02-23,215.7,217.8,211.8495,214.6005,3593300,134.4886
2016-02-24,212.8005,212.8005,208.2,209.4,2618100,131.2295
2016-02-25,212.4,217.8,209.5995,216.2505,5778400,135.5227
2016-02-26,217.3995,218.55,214.0995,216.0495,4205800,135.3967
2016-02-29,217.2495,221.1,192.4995,194.1,23809800,121.6411
2016-03-01,193.9005,193.9005,188.55,191.5005,23118100,120.012
2016-03-02,194.4,197.2995,192.1005,194.9505,15524900,122.1741
2016-03-03,196.5,200.85,193.7505,197.2005,16866700,123.5842
2016-03-04,199.9005,204.4005,199.0005,200.7,22523000,125.7773
2016-03-07,200.7,200.7,200.7,200.7,0,125.7773
2016-03-08,202.7505,206.3505,201.0,201.8505,12258700,126.4983
2016-03-09,202.0005,205.9995,201.3,205.2495,7688800,128.6284
2016-03-10,208.95,208.95,204.3495,205.6995,13467800,128.9104
2016-03-11,207.6,207.6,202.2,205.0995,14262100,128.5344
2016-03-14,207.4995,208.9995,205.7505,208.2495,7498600,130.5085
2016-03-15,205.9995,207.9,205.05,207.4005,5504400,129.9764
2016-03-16,207.3,208.7505,204.9,206.5005,5188600,130.1182
2016-03-17,208.5495,214.9005,208.5,212.25,8394300,133.741
2016-03-18,213.75,214.9995,212.5005,214.6005,6776200,135.2221
2016-03-21,214.0005,217.5,213.0,216.6495,5801700,136.5132
2016-03-22,216.6495,219.15,214.9995,216.1005,6610500,136.1673
2016-03-23,216.4005,217.7505,211.9005,214.6005,5978200,135.2221
2016-03-24,214.6005,214.6005,214.6005,214.6005,0,135.2221
2016-03-25,214.6005,214.6005,214.6005,214.6005,0,135.2221
