Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,141.4,141.85,140.75,141.0,1816700,138.39
2016-01-04,140.5,144.35,139.9,140.95,3830500,138.34
2016-01-05,141.05,141.95,138.2,139.15,2395700,136.58
2016-01-06,138.6,139.95,138.0,139.5,2992500,136.92
2016-01-07,139.5,141.75,137.5,138.1,3817800,135.55
2016-01-08,140.0,142.0,138.9,141.65,5819500,139.03
2016-01-11,140.5,145.5,139.0,143.25,4659500,140.6
2016-01-12,143.5,146.75,142.05,142.75,3718800,140.11
2016-01-13,143.15,144.4,140.1,142.9,4197300,140.26
2016-01-14,141.4,144.5,141.4,142.85,5781600,140.21
2016-01-15,142.15,143.25,138.3,139.1,4179700,136.53
2016-01-18,140.0,141.05,137.4,138.15,4168800,135.59
2016-01-19,138.45,139.8,134.8,135.95,4096100,133.44
2016-01-20,134.6,140.3,130.55,134.65,8998800,132.16
2016-01-21,134.8,137.35,132.0,132.2,5859100,129.75
2016-01-22,133.2,135.8,132.1,133.1,4555700,130.64
2016-01-25,134.0,134.45,131.25,133.0,5002500,130.54
2016-01-26,133.0,133.0,133.0,133.0,0,130.54
2016-01-27,133.8,139.25,133.4,138.25,8171800,135.69
2016-01-28,141.0,144.5,140.5,143.7,12709400,141.04
2016-01-29,144.8,148.4,144.5,147.85,6309500,145.12
2016-02-01,147.9,148.4,146.15,146.75,6906500,144.04
2016-02-02,146.5,150.35,145.0,146.25,10275200,143.55
2016-02-03,143.85,146.2,141.45,143.25,6805100,141.37
2016-02-04,144.85,147.5,142.85,146.8,4908400,144.88
2016-02-05,147.05,147.4,144.35,145.25,3471000,143.35
2016-02-08,145.05,146.05,141.65,142.45,2148900,140.58
2016-02-09,141.8,145.5,141.0,141.95,4104700,140.09
2016-02-10,141.0,144.55,141.0,143.35,4567100,141.47
2016-02-11,142.85,143.85,134.1,136.7,4076800,134.91
2016-02-12,138.0,140.8,136.3,138.35,9036900,136.54
2016-02-15,139.1,140.65,138.1,138.7,4761300,136.88
2016-02-16,139.1,140.55,137.8,139.3,3806000,137.48
2016-02-17,139.85,139.85,137.35,139.6,4390200,137.77
2016-02-18,140.1,141.75,139.0,139.85,4938300,138.02
2016-02-19,139.8,142.0,139.05,141.0,3556700,139.15
2016-02-22,141.0,141.5,138.35,139.65,1290300,137.82
2016-02-23,140.0,140.3,136.7,137.1,2179000,135.3
2016-02-24,138.0,141.0,137.65,139.7,6405700,137.87
2016-02-25,140.1,140.25,131.05,131.75,10716300,130.02
2016-02-26,133.5,135.9,132.0,133.65,7037400,131.9
2016-02-29,134.35,134.35,129.2,130.05,6460700,128.35
2016-03-01,131.0,134.35,130.25,133.75,8033300,132.0
2016-03-02,135.0,138.2,134.05,135.4,7622200,133.63
2016-03-03,136.5,136.9,134.05,135.65,3969800,133.87
2016-03-04,136.4,139.15,135.45,138.65,16440900,136.83
2016-03-07,138.65,138.65,138.65,138.65,0,136.83
2016-03-08,139.5,139.7,136.1,137.7,11324000,135.9
2016-03-09,136.9,140.2,136.6,139.75,4097300,137.92
2016-03-10,140.1,140.9,138.1,139.65,2088800,137.82
2016-03-11,139.65,140.4,137.65,138.2,2635600,136.39
2016-03-14,138.6,139.0,137.7,138.6,2488000,136.78
2016-03-15,138.15,140.0,138.15,138.95,6556000,137.13
2016-03-16,139.4,140.0,137.5,138.75,3470700,136.93
2016-03-17,139.25,140.25,136.9,138.0,4223800,136.19
2016-03-18,138.5,139.1,136.5,136.85,5172600,135.06
2016-03-21,136.55,138.45,136.25,138.0,2629200,136.19
2016-03-22,138.0,139.35,137.5,138.2,3728600,136.39
2016-03-23,137.3,139.15,136.95,137.45,6494300,135.65
2016-03-24,137.45,137.45,137.45,137.45,0,135.65
2016-03-25,137.45,137.45,137.45,137.45,0,135.65
2016-03-28,137.9,140.0,136.5,139.1,4889000,137.28
2016-03-29,140.0,141.0,137.55,138.15,6456300,136.34
2016-03-30,138.9,140.35,138.35,139.75,3261300,137.92
2016-03-31,138.5,140.45,138.5,139.1,8840100,137.28
2016-04-01,139.8,140.0,138.1,138.3,2213500,136.49
2016-04-04,138.75,140.1,138.3,138.6,3178000,136.78
2016-04-05,139.8,140.8,138.7,139.05,4356500,137.23
2016-04-06,139.85,141.3,139.35,139.7,5860200,137.87
2016-04-07,140.65,140.9,139.6,140.2,6979800,138.36
2016-04-08,140.25,141.15,140.25,140.9,2325100,139.05
2016-04-11,140.65,142.95,140.55,142.25,6952800,140.39
2016-04-12,142.0,145.25,142.0,143.15,5007000,141.28
2016-04-13,144.35,145.35,143.9,145.0,5759800,143.1
2016-04-14,145.0,145.0,145.0,145.0,0,143.1
2016-04-15,145.0,145.0,145.0,145.0,0,143.1
2016-04-18,145.0,146.75,142.75,145.95,4132900,144.04
2016-04-19,145.95,145.95,145.95,145.95,0,144.04
2016-04-20,145.7,149.9,145.15,148.0,4340200,146.06
2016-04-21,148.35,149.55,145.1,146.15,3552200,144.24
2016-04-22,146.3,147.3,144.3,146.05,2430400,144.14
2016-04-25,146.1,146.1,142.55,143.8,2027800,141.92
2016-04-26,144.45,146.25,143.05,145.15,5042400,143.25
2016-04-27,145.3,146.0,143.65,144.35,1787200,142.46
2016-04-28,144.2,145.45,141.35,141.85,5292200,139.99
2016-04-29,142.25,143.85,140.5,143.4,2465500,141.52
2016-05-02,143.0,144.0,141.6,142.85,1903300,140.98
2016-05-03,143.0,146.8,143.0,145.2,2571900,143.3
2016-05-04,144.8,145.1,142.0,142.75,2495000,140.88
2016-05-05,143.0,144.3,142.1,143.25,1558200,141.37
2016-05-06,143.15,143.35,140.5,142.45,2089100,140.58
2016-05-09,142.5,144.15,141.65,143.5,2827700,141.62
2016-05-10,143.15,143.75,141.0,141.85,4364200,139.99
2016-05-11,140.8,142.2,139.5,141.45,2573000,139.6
2016-05-12,141.9,144.35,141.2,143.9,2743600,142.02
2016-05-13,143.3,145.2,142.4,144.75,3779900,142.85
2016-05-16,144.95,145.9,143.0,144.45,2531400,142.56
2016-05-17,146.0,146.0,142.6,144.9,2674400,143.0
2016-05-18,144.0,144.9,142.7,143.05,1447300,141.18
2016-05-19,143.3,145.6,143.3,144.4,3394700,142.51
2016-05-20,144.6,145.15,143.7,144.8,1718900,142.9
2016-05-23,145.6,148.9,145.0,148.15,5677500,146.21
2016-05-24,149.0,149.25,146.2,146.7,1994000,144.78
2016-05-25,148.0,150.0,147.05,149.7,4051100,147.74
2016-05-26,150.0,151.4,148.6,150.6,6383400,148.63
2016-05-27,151.4,152.4,148.8,150.85,4294900,148.87
2016-05-30,151.1,152.95,149.35,151.75,3402800,149.76
2016-05-31,152.0,152.35,149.55,150.0,2417000,148.04
2016-06-01,150.6,150.6,148.4,148.9,2823100,146.95
2016-06-02,148.9,150.6,148.1,150.2,2222400,148.23
2016-06-03,150.6,150.85,149.25,150.4,1942500,148.43
2016-06-06,150.2,150.7,148.55,149.25,1347600,147.3
2016-06-07,149.4,150.95,149.25,149.9,2121400,147.94
2016-06-08,150.0,152.9,149.3,152.55,2140000,150.55
2016-06-09,152.7,154.45,152.35,152.8,2542800,150.8
2016-06-10,152.9,155.15,152.85,154.4,5056300,152.38
