Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,1009.8,1018.9,1008.2,1015.35,1238100,1004.9157
2016-01-04,1005.0,1013.8,986.7,995.3,6896500,985.0718
2016-01-05,1000.3,1010.0,997.0,1005.15,3416400,994.8206
2016-01-06,1007.6,1038.4,1000.4,1032.2,6116800,1021.5926
2016-01-07,1021.05,1028.0,1008.05,1013.25,4512200,1002.8373
2016-01-08,1020.0,1032.9,1016.7,1025.75,4871800,1015.2089
2016-01-11,1015.95,1060.8,1011.0,1051.6,6632600,1040.7932
2016-01-12,1055.0,1065.4,1041.1,1045.45,5342700,1034.7064
2016-01-13,1053.1,1089.75,1047.2,1076.85,16412800,1065.7837
2016-01-14,1063.85,1081.0,1053.05,1061.65,6359900,1050.74
2016-01-15,1069.75,1089.5,1065.6,1073.3,6575700,1062.2703
2016-01-18,1075.0,1083.95,1008.1,1016.85,6229900,1006.4003
2016-01-19,1029.0,1049.8,1014.1,1043.6,4912000,1032.8754
2016-01-20,1034.9,1034.9,990.0,1004.55,10312300,994.2267
2016-01-21,1017.55,1025.75,976.7,984.2,7261700,974.0859
2016-01-22,994.05,1011.0,994.05,1004.15,5413400,993.8309
2016-01-25,1010.0,1018.75,1000.0,1003.95,2994300,993.6329
2016-01-26,1003.95,1003.95,1003.95,1003.95,0,993.6329
2016-01-27,1008.1,1010.0,996.95,999.35,3943200,989.0802
2016-01-28,1001.0,1021.8,997.1,1016.9,5274400,1006.4499
2016-01-29,1018.95,1040.0,1018.0,1035.4,4383500,1024.7597
2016-02-01,1039.95,1041.8,1025.55,1030.3,2267200,1019.7122
2016-02-02,1030.3,1032.8,990.5,1001.15,3376400,990.8617
2016-02-03,988.0,994.0,975.0,981.4,3586800,971.3147
2016-02-04,988.0,1001.0,965.7,973.05,4161000,963.0504
2016-02-05,979.1,982.0,961.4,970.9,4799800,960.9226
2016-02-08,971.1,984.8,957.95,961.05,2760800,951.1738
2016-02-09,952.9,968.8,950.0,957.5,4481000,947.6603
2016-02-10,951.7,973.0,948.65,962.65,3859200,952.7574
2016-02-11,962.85,965.95,915.5,924.55,3912100,915.0489
2016-02-12,933.9,933.9,888.1,906.55,6701900,897.2338
2016-02-15,918.0,951.35,918.0,946.75,4407800,937.0207
2016-02-16,951.1,958.0,927.0,930.55,2977200,920.9872
2016-02-17,935.1,957.45,916.4,952.6,3529800,942.8106
2016-02-18,962.95,968.7,936.0,940.1,3299100,930.439
2016-02-19,940.0,952.75,937.35,944.35,2339600,934.6454
