Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,225.0,228.9,224.5,227.8,6449400,224.8467
2016-01-04,226.95,226.95,220.05,220.7,14092000,217.8388
2016-01-05,222.8,222.8,217.0,217.75,15074800,214.92700000000002
2016-01-06,217.9,219.9,216.4,216.85,11921100,214.0387
2016-01-07,214.0,214.1,209.0,209.55,14342200,206.8333
2016-01-08,212.0,212.5,208.6,208.95,11745800,206.2411
2016-01-11,206.8,207.5,202.65,204.3,19287800,201.6514
2016-01-12,204.85,205.0,198.6,199.4,20318800,196.8149
2016-01-13,201.35,202.4,194.0,200.9,23788200,198.2955
2016-01-14,197.0,201.5,194.3,196.05,20256600,193.5083
2016-01-15,197.8,197.8,181.0,184.3,29090400,181.9107
2016-01-18,184.9,188.15,179.15,181.0,35653200,178.6534
2016-01-19,182.15,187.8,181.5,182.95,24501700,180.5782
2016-01-20,180.65,180.65,171.5,173.65,28655700,171.3987
2016-01-21,177.0,178.65,172.05,175.6,28697200,173.3235
2016-01-22,179.9,185.4,178.3,184.6,21432400,182.2068
2016-01-25,187.9,188.8,182.5,182.95,17534600,180.5782
2016-01-26,182.95,182.95,182.95,182.95,0,180.5782
2016-01-27,184.4,186.2,181.05,184.4,16569800,182.0094
2016-01-28,184.2,185.9,182.5,185.25,20241000,182.8484
2016-01-29,184.2,185.75,178.1,179.9,24259100,177.5677
2016-02-01,181.95,181.95,172.1,172.75,22915200,170.5104
2016-02-02,173.1,177.4,168.6,169.4,35957300,167.2038
2016-02-03,167.8,167.8,163.25,166.05,24132000,163.8973
2016-02-04,169.3,169.8,160.2,162.85,23811100,160.7388
2016-02-05,163.7,169.3,162.2,168.2,22732200,166.0194
2016-02-08,169.45,176.9,168.55,172.15,22289000,169.9182
2016-02-09,168.0,172.4,166.1,167.05,19008300,164.8843
2016-02-10,165.0,166.2,158.0,159.0,32294700,156.9387
2016-02-11,159.5,167.5,152.2,154.25,72749800,152.2502
2016-02-12,156.15,157.65,148.25,154.8,41187800,152.7931
2016-02-15,159.0,170.0,158.0,167.85,35956200,165.6739
2016-02-16,170.75,170.75,155.65,156.4,33816200,154.3724
2016-02-17,155.0,159.85,151.25,158.95,32447600,156.8893
2016-02-18,161.95,163.7,156.4,159.8,21024100,157.7283
2016-02-19,157.9,165.3,157.1,164.7,24592500,162.5648
2016-02-22,165.95,166.8,163.7,164.95,15815000,162.8115
2016-02-23,165.0,165.0,158.0,158.5,20200000,156.4451
2016-02-24,156.0,160.7,155.3,156.3,19440900,154.2737
2016-02-25,157.6,158.1,151.0,151.8,22713100,149.832
2016-02-26,155.5,158.7,152.55,155.9,30051400,153.8788
2016-02-29,158.2,163.9,153.0,158.75,66981900,156.6919
2016-03-01,160.5,162.9,158.55,162.05,23588200,159.9491
2016-03-02,172.5,183.2,172.5,181.15,53333700,178.8015
2016-03-03,184.0,184.6,178.5,182.75,33507000,180.3808
2016-03-04,183.4,189.85,178.5,188.4,38860700,185.9575
2016-03-07,188.4,188.4,188.4,188.4,0,185.9575
2016-03-08,186.95,186.95,181.4,183.35,27928200,180.97299999999998
2016-03-09,180.0,184.0,178.7,183.4,29453000,181.0223
2016-03-10,184.75,184.75,179.4,180.5,20472900,178.1599
2016-03-11,180.0,182.65,177.55,180.1,21869100,177.7651
2016-03-14,182.45,183.4,180.7,181.75,14369700,179.3937
