Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,392.5,403.0,373.0,401.9,4377300,401.7373
2016-01-04,400.0,400.1,375.05,377.05,7822600,376.8973
2016-01-05,381.05,382.45,372.1,374.45,6901000,374.2984
2016-01-06,374.25,375.5,364.6,365.9,7211200,365.7519
2016-01-07,356.25,358.0,338.1,343.55,11782300,343.4109
2016-01-08,345.6,355.85,345.6,353.35,8770300,353.207
2016-01-11,343.9,364.75,341.65,360.2,10576700,360.0542
2016-01-12,362.7,363.95,351.6,355.0,8363000,354.8563
2016-01-13,360.45,369.8,356.3,364.6,14191500,364.4524
2016-01-14,356.1,359.4,346.8,354.3,10673300,354.1566
2016-01-15,353.9,353.9,339.35,341.3,6557500,341.1618
2016-01-18,341.0,343.3,334.4,340.2,6285100,340.0623
2016-01-19,343.0,357.2,342.0,354.15,7304500,354.0066
2016-01-20,349.65,349.65,338.8,342.25,9156500,342.1114
2016-01-21,340.65,344.15,323.0,328.55,16524000,328.417
2016-01-22,335.5,345.9,331.5,339.5,9595300,339.3626
2016-01-25,345.5,345.5,331.15,332.6,6106900,332.4654
2016-01-26,332.6,332.6,332.6,332.6,0,332.4654
2016-01-27,338.0,341.0,333.2,337.05,8333200,336.9135
2016-01-28,336.3,341.4,332.3,334.2,13153600,334.0647
2016-01-29,332.0,340.6,324.2,336.9,10350900,336.7636
2016-02-01,338.75,342.4,332.25,338.5,6563700,338.36300000000006
2016-02-02,343.8,344.7,327.7,329.55,9179300,329.4166
2016-02-03,325.55,325.95,317.05,320.3,6685400,320.1703
2016-02-04,325.3,329.3,321.2,325.5,6086900,325.3682
2016-02-05,330.5,339.0,326.65,337.1,9236500,336.9635
2016-02-08,334.95,334.95,321.35,323.5,6974300,323.369
2016-02-09,319.5,322.65,308.8,310.65,12489700,310.5242
2016-02-10,309.85,309.95,288.25,291.55,21756100,291.432
2016-02-11,298.5,300.0,265.8,276.35,21632800,276.2381
2016-02-12,281.0,303.95,271.6,298.35,21542100,298.2292
2016-02-15,297.9,320.75,297.7,317.25,18888600,317.1216
2016-02-16,319.4,324.2,298.9,301.15,13598300,301.0281
2016-02-17,302.95,313.5,298.65,310.15,13717500,310.0244
2016-02-18,315.15,319.1,306.2,314.0,12498200,313.8729
2016-02-19,312.1,320.0,311.1,318.2,7706400,318.0712
2016-02-22,320.0,324.2,313.6,318.85,8699700,318.7209
2016-02-23,324.0,324.75,314.45,318.55,11635800,318.421
2016-02-24,316.0,316.0,304.75,306.3,7629900,306.176
2016-02-25,309.8,312.2,296.2,298.2,12959800,298.0793
2016-02-26,303.2,305.2,297.6,301.8,9181600,301.6778
2016-02-29,303.2,305.75,290.25,299.7,12607100,299.5787
2016-03-01,301.1,317.0,301.1,315.35,11440000,315.2223
2016-03-02,322.9,326.0,314.35,317.1,12418100,316.9716
2016-03-03,324.5,339.8,321.5,336.7,12844000,336.5637
2016-03-04,340.15,348.75,338.65,343.5,8197500,343.3609
2016-03-07,343.5,343.5,343.5,343.5,0,343.3609
2016-03-08,346.5,353.75,341.5,346.05,7888900,345.9099
2016-03-09,339.9,349.0,336.0,347.7,6383900,347.5593
2016-03-10,347.0,353.6,341.4,348.5,7443000,348.3589
2016-03-11,348.5,355.9,345.15,354.25,7641300,354.1066
2016-03-14,359.9,370.55,358.95,366.45,13066800,366.3017
2016-03-15,366.9,370.7,359.55,360.4,9800700,360.2541
2016-03-16,359.95,362.75,353.3,359.55,7554500,359.4044
2016-03-17,366.9,367.4,358.6,360.9,6914200,360.7539
2016-03-18,362.5,367.8,362.5,366.05,6594000,365.9018
2016-03-21,367.25,375.5,365.75,374.7,9325700,374.5483
2016-03-22,376.95,381.5,370.4,377.2,8909000,377.0473
2016-03-23,378.0,379.45,374.05,377.0,5766100,376.8474
2016-03-24,377.0,377.0,377.0,377.0,0,376.8474
2016-03-25,377.0,377.0,377.0,377.0,0,376.8474
2016-03-28,375.5,375.5,361.5,363.3,8062700,363.1529
2016-03-29,364.0,378.95,363.05,372.45,9364800,372.2992
2016-03-30,380.5,391.5,376.8,388.6,10295800,388.4427
2016-03-31,387.9,393.6,380.5,386.6,10738700,386.4435
2016-04-01,386.4,386.4,377.7,379.65,5683700,379.4963
2016-04-04,385.95,391.0,382.4,388.4,6011700,388.2428
2016-04-05,386.0,386.0,369.0,370.5,6058200,370.35
2016-04-06,373.7,382.4,372.05,376.7,7323200,376.5475
2016-04-07,375.95,384.8,370.3,375.2,8724100,375.0481
2016-04-08,375.5,380.05,370.5,371.45,4860400,371.2996
2016-04-11,373.95,387.8,373.9,386.65,6827400,386.4935
2016-04-12,387.95,397.4,387.15,395.8,7702600,395.6398
2016-04-13,400.0,411.75,398.15,408.75,12373100,408.5845
2016-04-14,408.75,408.75,408.75,408.75,0,408.5845
2016-04-15,408.75,408.75,408.75,408.75,0,408.5845
2016-04-18,407.65,409.9,402.5,407.35,5571000,407.1851
2016-04-19,407.35,407.35,407.35,407.35,0,407.1851
2016-04-20,407.0,410.35,400.65,404.1,7589900,403.9364
2016-04-21,408.7,417.2,406.0,411.5,9211800,411.3334
2016-04-22,412.1,420.5,408.0,417.0,5995900,416.8312
2016-04-25,417.6,417.6,410.0,412.2,3272900,412.0331
2016-04-26,408.65,423.65,405.05,419.05,6998500,418.8803
2016-04-27,418.95,425.25,414.65,418.55,6227900,418.3805
2016-04-28,418.8,420.95,409.7,411.35,7546100,411.1835
2016-04-29,410.0,413.7,403.05,408.35,6251000,408.1847
2016-05-02,407.95,410.45,402.5,407.7,4178800,407.535
2016-05-03,410.9,422.0,407.8,409.65,9620800,409.4842
2016-05-04,405.5,405.5,380.1,381.8,12069100,381.6454
2016-05-05,384.0,396.05,383.15,391.15,9601300,390.9916
2016-05-06,388.6,400.9,384.5,398.7,9953600,398.5386
2016-05-09,400.35,405.2,395.15,403.35,8700200,403.1867
2016-05-10,400.8,400.8,387.15,388.95,9166400,388.7926
2016-05-11,384.8,391.95,376.1,379.85,11595800,379.6962
2016-05-12,379.0,388.6,379.0,387.05,6506300,386.8933
2016-05-13,391.25,394.0,385.5,389.95,14027800,389.7921
2016-05-16,393.8,396.7,389.0,392.7,8248100,392.541
2016-05-17,392.6,395.0,386.6,389.7,9425500,389.5422
2016-05-18,383.5,387.35,381.6,384.85,8589300,384.6942
2016-05-19,386.25,393.3,381.95,386.9,10988600,386.7434
2016-05-20,386.7,392.7,383.5,384.45,6537500,384.2944
2016-05-23,388.55,389.95,380.1,381.75,8153000,381.5955
2016-05-24,383.8,391.75,382.65,389.1,10568100,388.9425
2016-05-25,394.0,399.95,394.0,397.0,8897300,396.8393
2016-05-26,400.5,402.0,396.75,399.25,8469700,399.0884
2016-05-27,400.0,405.0,396.0,403.9,9035500,403.7365
2016-05-30,404.8,423.6,401.3,421.25,15767100,421.0795
2016-05-31,456.0,464.9,445.0,459.65,110744300,459.4639
2016-06-01,455.75,458.3,445.0,449.2,10389200,449.0182
2016-06-02,444.1,460.5,444.1,453.45,13674400,453.2664
2016-06-03,458.05,461.8,452.5,453.95,11672500,453.7662
2016-06-06,457.8,465.0,450.2,460.5,9356800,460.3136
2016-06-07,466.45,466.45,459.0,463.05,12568900,462.8625
2016-06-08,465.5,468.8,463.2,466.15,10467100,465.9613
2016-06-09,469.45,470.25,465.0,467.15,8525000,466.9609
2016-06-10,466.75,466.75,454.5,456.95,7039800,456.765
2016-06-13,451.0,451.4,436.7,444.25,9507200,444.0702
2016-06-14,446.9,453.85,441.15,448.4,9615200,448.2185
2016-06-15,449.9,453.0,447.25,452.1,5704800,451.917
2016-06-16,449.7,455.5,446.05,454.35,7255400,454.1661
2016-06-17,461.0,465.75,457.3,464.4,7836700,464.212
2016-06-20,464.75,484.2,460.25,482.05,9261300,481.8548
2016-06-21,484.0,486.2,477.6,484.9,8907800,484.7037
2016-06-22,483.05,484.8,468.05,472.7,7660100,472.5086
2016-06-23,476.1,489.9,476.1,487.95,9628200,487.7525
2016-06-24,439.2,453.75,421.25,449.4,40998600,449.2181
2016-06-27,451.8,457.25,443.6,448.95,12450200,448.7683
2016-06-28,448.0,448.0,433.0,440.4,10190300,440.2217
2016-06-29,447.1,449.8,445.4,447.25,6285400,447.0689
2016-06-30,454.3,462.25,451.55,459.25,13214000,459.0641
2016-07-01,463.6,464.75,454.7,457.9,7027700,457.7146
2016-07-04,467.0,474.85,467.0,469.5,8413000,469.3099
2016-07-05,468.5,469.0,459.5,460.9,4934000,460.7134
2016-07-06,460.9,460.9,460.9,460.9,0,460.7134
2016-07-07,460.95,465.45,454.1,455.15,6580600,454.9657
2016-07-08,464.3,468.2,462.65,466.3,9263700,466.1112
2016-07-11,472.1,486.8,472.1,484.6,10477100,484.4038
2016-07-12,486.0,488.65,481.1,484.3,6767900,484.1039
2016-07-13,485.95,488.1,477.95,481.1,5855700,480.9052
2016-07-14,480.1,489.3,478.95,486.1,5983000,485.9032
2016-07-15,480.0,501.7,479.65,494.0,8889500,493.8
2016-07-18,495.0,505.0,490.0,492.65,7463900,492.65
2016-07-19,493.9,503.5,493.45,499.25,7665500,499.25
2016-07-20,496.3,502.45,492.45,493.9,5697900,493.9
2016-07-21,498.45,500.0,489.7,491.05,3658300,491.05
2016-07-22,494.45,508.45,493.5,507.2,5588100,507.2
2016-07-25,505.5,510.95,503.35,509.0,4638100,509.0
2016-07-26,506.05,513.35,502.1,503.25,6187400,503.25
2016-07-27,507.75,513.05,505.5,510.1,5193400,510.1
2016-07-28,510.0,511.9,498.75,506.85,6338200,506.85
2016-07-29,507.8,510.5,501.1,503.2,3746300,503.2
2016-08-01,506.8,514.9,505.5,508.25,4748400,508.25
2016-08-02,510.0,511.2,491.15,493.3,5251800,493.3
2016-08-03,494.5,499.5,475.5,478.4,7925000,478.4
2016-08-04,490.1,501.45,488.6,500.0,9476000,500.0
2016-08-05,507.2,518.7,502.15,516.4,6393500,516.4
2016-08-08,518.2,522.6,513.4,514.8,4649300,514.8
2016-08-09,521.0,522.0,509.2,513.8,6015700,513.8
2016-08-10,515.6,516.5,502.3,503.45,6371100,503.45
2016-08-11,503.75,505.0,495.1,503.25,4112800,503.25
2016-08-12,506.9,519.5,506.15,516.8,7167400,516.8
2016-08-15,516.8,516.8,516.8,516.8,0,516.8
2016-08-16,512.95,515.0,503.3,507.6,6034200,507.6
2016-08-17,511.1,514.25,505.85,510.4,5853900,510.4
2016-08-18,512.4,517.9,510.75,512.05,4990500,512.05
2016-08-19,514.0,515.0,508.2,510.0,4567200,510.0
2016-08-22,509.1,513.6,503.1,503.95,4330300,503.95
2016-08-23,505.25,508.6,500.45,504.0,5342100,504.0
2016-08-24,504.7,506.05,493.6,498.35,5189400,498.35
2016-08-25,498.35,503.3,491.3,493.85,8787200,493.85
2016-08-26,502.0,515.35,486.0,503.75,16347800,503.75
2016-08-29,522.5,528.75,515.4,525.3,12534300,525.3
2016-08-30,528.5,530.8,524.1,529.0,6611100,529.0
2016-08-31,529.0,548.8,529.0,537.7,15725900,537.7
2016-09-01,540.5,546.65,540.0,543.65,7571800,543.65
2016-09-02,552.0,555.9,549.1,549.85,10097100,549.85
2016-09-05,549.85,549.85,549.85,549.85,0,549.85
2016-09-06,556.35,593.3,556.35,588.7,15813100,588.7
2016-09-07,590.0,598.4,584.0,587.4,13408900,587.4
2016-09-08,590.75,591.7,577.75,584.2,10456200,584.2
2016-09-09,580.0,582.95,571.7,573.25,7159000,573.25
2016-09-12,551.0,560.0,549.25,553.45,7055200,553.45
2016-09-13,553.45,553.45,553.45,553.45,0,553.45
2016-09-14,556.25,565.35,544.1,560.5,12364700,560.5
2016-09-15,562.0,566.25,555.4,557.55,5258800,557.55
2016-09-16,562.4,568.2,546.35,548.7,10931800,548.7
2016-09-19,553.8,556.4,549.45,554.45,6979200,554.45
2016-09-20,555.0,556.3,545.5,548.45,6874400,548.45
2016-09-21,548.6,556.4,544.0,549.9,5919100,549.9
2016-09-22,561.2,562.95,551.35,558.45,6012300,558.45
2016-09-23,558.5,558.5,551.2,553.05,4840300,553.05
2016-09-26,549.95,549.95,533.75,535.3,6858500,535.3
2016-09-27,537.7,542.0,530.25,531.95,4912700,531.95
2016-09-28,533.0,545.4,531.5,540.0,6604900,540.0
2016-09-29,543.0,546.9,516.65,526.3,9315700,526.3
2016-09-30,525.6,536.55,521.2,534.85,5659200,534.85
2016-10-03,539.4,546.0,539.0,540.8,4505900,540.8
2016-10-04,547.4,552.4,540.65,549.95,5715400,549.95
2016-10-05,555.3,562.4,549.75,559.65,5929200,559.65
2016-10-06,563.1,564.2,549.1,551.45,4273900,551.45
2016-10-07,554.5,567.3,552.6,565.7,9122000,565.7
2016-10-10,571.1,571.1,560.9,562.05,3673200,562.05
2016-10-11,562.05,562.05,562.05,562.05,0,562.05
2016-10-12,562.05,562.05,562.05,562.05,0,562.05
2016-10-13,556.9,556.9,537.0,544.85,9510800,544.85
2016-10-14,546.0,557.45,545.0,556.1,5872800,556.1
2016-10-17,557.85,557.85,545.9,547.55,3463100,547.55
2016-10-18,549.2,556.0,549.2,554.25,3965400,554.25
2016-10-19,552.05,554.9,545.05,550.5,4275100,550.5
2016-10-20,553.05,554.0,546.0,546.85,2770000,546.85
