Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,289.4,298.25,289.35,296.6,1131200,296.31
2016-01-04,294.8,294.8,275.25,278.1,2359700,277.83
2016-01-05,281.4,283.0,276.4,278.95,2346400,278.68
2016-01-06,280.0,280.45,272.45,273.45,1646500,273.19
2016-01-07,267.9,267.9,254.5,257.0,2837900,256.75
2016-01-08,260.0,267.55,259.0,264.7,2081200,264.45
2016-01-11,259.75,274.4,258.4,271.8,1944200,271.54
2016-01-12,273.0,275.0,266.35,270.25,1170500,269.99
2016-01-13,272.6,278.9,266.75,273.7,1965900,273.44
2016-01-14,265.0,270.25,261.6,267.75,1685200,267.49
2016-01-15,268.85,268.85,256.75,257.9,963000,257.65
2016-01-18,257.5,260.95,252.05,257.0,1343100,256.75
2016-01-19,260.4,268.9,258.5,263.95,1386000,263.7
2016-01-20,260.5,261.9,251.6,258.6,2119800,258.35
2016-01-21,258.0,261.0,246.9,248.25,3015700,248.01
2016-01-22,252.95,262.3,251.0,257.45,1182200,257.2
2016-01-25,260.8,263.5,255.95,257.6,1088600,257.35
2016-01-26,257.6,257.6,257.6,257.6,0,257.35
2016-01-27,257.8,266.35,257.8,265.45,1531700,265.19
2016-01-28,266.3,276.3,264.1,267.5,3184900,267.24
2016-01-29,266.8,267.95,260.1,265.45,1917200,265.19
2016-02-01,265.55,266.95,261.25,263.2,1109800,262.95
2016-02-02,264.5,264.95,251.7,253.35,3769000,253.11
2016-02-03,252.6,252.6,240.5,243.0,2740600,242.77
2016-02-04,244.5,246.3,239.5,242.95,2205600,242.72
2016-02-05,243.9,251.8,243.9,248.75,1793100,248.51
2016-02-08,248.0,248.95,240.1,241.15,827900,240.92
2016-02-09,237.8,242.15,229.1,230.6,3495900,230.38
2016-02-10,229.7,229.7,215.5,223.95,3800300,223.73
2016-02-11,224.0,227.8,210.1,214.8,1565600,214.59
2016-02-12,214.7,230.5,212.55,226.15,3129700,225.93
2016-02-15,230.8,239.5,227.0,237.85,1869800,237.62
2016-02-16,241.0,243.15,227.3,229.25,1941700,229.03
2016-02-17,230.0,240.0,226.25,239.15,1625700,238.92
2016-02-18,241.8,242.75,232.6,239.2,1651700,238.97
2016-02-19,237.9,245.95,235.5,244.75,1493000,244.51
2016-02-22,246.7,247.7,238.1,242.1,819900,241.87
2016-02-23,256.2,259.7,245.25,246.75,3997500,246.51
2016-02-24,245.9,248.45,240.1,241.2,1753300,240.97
2016-02-25,241.6,244.2,231.6,232.85,4077600,232.63
2016-02-26,236.1,238.3,230.0,233.4,2023400,233.18
2016-02-29,232.85,236.45,224.3,234.05,1987100,233.82
2016-03-01,234.3,243.45,234.3,240.45,2685000,240.22
