Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,68.1,69.45,67.8,68.95,1973800,66.56221
2016-01-04,68.9,69.9,67.5,68.25,2644900,65.88645
2016-01-05,68.55,70.7,68.45,69.35,3266000,66.94835
2016-01-06,69.3,69.75,68.0,68.8,3274500,66.41741
2016-01-07,67.95,68.4,65.8,66.35,2616700,64.05225
2016-01-08,67.0,69.3,66.35,68.7,2913300,66.32086
2016-01-11,67.95,67.95,66.2,67.15,3288800,64.82454
2016-01-12,67.65,68.25,66.45,67.0,2857300,64.67974
2016-01-13,67.5,68.0,64.4,65.7,3728000,63.42476
2016-01-14,65.1,65.85,63.5,64.75,2720600,62.507659999999994
2016-01-15,65.0,65.5,61.3,61.75,2254300,59.61155
2016-01-18,61.45,63.45,61.1,61.65,2870300,59.51501
2016-01-19,62.2,64.95,62.0,64.25,3722000,62.024969999999996
2016-01-20,63.2,63.7,60.4,61.75,3483900,59.61155
2016-01-21,62.1,62.75,60.1,61.15,4223900,59.03233
2016-01-22,62.4,62.5,61.5,61.75,2793900,59.61155
2016-01-25,62.55,62.55,61.05,61.35,2573200,59.2254
2016-01-26,61.35,61.35,61.35,61.35,0,59.2254
2016-01-27,62.4,62.4,61.0,61.3,2950500,59.177130000000005
2016-01-28,61.3,61.7,59.75,60.0,5165300,57.92215
2016-01-29,60.2,61.35,59.8,60.1,4490300,58.01869
2016-02-01,61.0,61.0,60.1,60.6,3874200,58.501369999999994
2016-02-02,60.75,60.85,58.4,58.75,4705400,56.71544
2016-02-03,58.5,58.5,56.5,57.05,3077300,55.07431
2016-02-04,57.45,59.85,57.45,59.05,3734600,57.00505
2016-02-05,59.75,60.5,59.45,60.25,4254900,58.1635
2016-02-08,60.25,60.8,58.65,58.95,4217100,56.908519999999996
2016-02-09,58.5,60.0,58.3,59.7,2166500,57.632540000000006
2016-02-10,59.55,59.8,57.65,59.2,2181000,57.14986
2016-02-11,59.0,59.5,55.6,56.3,3390800,54.35029
2016-02-12,56.55,57.9,55.0,56.7,3828500,54.73644
2016-02-15,57.2,60.25,57.15,59.55,11819200,57.48774
2016-02-16,60.8,61.9,58.05,58.55,6203800,56.522369999999995
2016-02-17,58.9,59.45,57.0,58.7,5755900,56.66717
2016-02-18,59.2,59.7,58.35,59.2,3013700,57.14986
2016-02-19,59.15,59.85,58.3,58.8,4420700,56.763709999999996
2016-02-22,59.45,59.45,58.4,58.6,1875600,56.570640000000004
2016-02-23,59.0,59.05,57.8,58.0,1930100,55.99142
2016-02-24,57.9,58.6,57.55,57.8,1459200,55.79834
2016-02-25,58.1,58.95,56.6,57.05,5151000,55.07431
2016-02-26,57.7,58.0,57.0,57.55,1469400,55.556999999999995
2016-02-29,58.0,58.35,56.25,57.3,3685500,55.31566
2016-03-01,57.65,58.8,57.15,58.4,2593400,56.377559999999995
2016-03-02,59.5,59.8,58.55,58.9,4236800,56.86025
2016-03-03,59.3,59.9,58.5,59.5,3763900,57.43946999999999
2016-03-04,59.8,59.9,58.8,59.25,4978500,57.198130000000006
2016-03-07,59.25,59.25,59.25,59.25,0,57.198130000000006
2016-03-08,59.25,59.8,58.35,58.75,4639900,56.71544
2016-03-09,57.4,59.05,57.4,58.65,5840000,56.61891
2016-03-10,59.15,59.55,58.75,58.9,2834600,56.86025
2016-03-11,58.9,59.4,58.55,59.0,2138500,56.95678
2016-03-14,59.2,59.65,59.05,59.2,1546300,57.14986
2016-03-15,59.2,59.45,58.65,58.75,3150100,56.71544
2016-03-16,58.9,59.1,58.1,58.85,3192000,56.811980000000005
2016-03-17,59.1,59.35,58.25,58.45,3314500,56.425830000000005
2016-03-18,58.6,58.8,58.0,58.5,3214500,56.4741
2016-03-21,58.5,59.35,58.4,59.15,1715000,57.10159
2016-03-22,59.3,61.95,59.15,61.8,9339300,59.659819999999996
2016-03-23,63.05,63.4,62.35,62.65,7172400,60.480380000000004
2016-03-24,62.65,62.65,62.65,62.65,0,60.480380000000004
2016-03-25,62.65,62.65,62.65,62.65,0,60.480380000000004
2016-03-28,63.05,63.05,60.75,60.95,3602300,58.83925
2016-03-29,61.25,62.4,60.4,61.4,2455900,59.273669999999996
2016-03-30,61.7,63.25,61.15,62.65,6428000,60.480380000000004
2016-03-31,63.4,65.1,63.1,64.65,16079100,62.41112
2016-04-01,64.95,65.5,63.65,65.2,4168500,62.942069999999994
2016-04-04,65.85,69.75,65.7,68.3,9789600,65.93472
2016-04-05,68.15,68.15,66.5,67.0,6724100,64.67974
2016-04-06,67.3,67.65,66.0,66.5,3777200,64.19705
2016-04-07,67.95,70.1,60.55,63.9,53852600,61.687090000000005
2016-04-08,65.7,66.15,64.1,65.8,9017800,63.5213
2016-04-11,65.7,67.9,65.5,67.7,6184900,65.35549
2016-04-12,67.7,69.15,67.5,67.85,6464200,65.5003
2016-04-13,68.5,70.25,68.3,70.0,6604000,67.57585
2016-04-14,70.0,70.0,70.0,70.0,0,67.57585
2016-04-15,70.0,70.0,70.0,70.0,0,67.57585
2016-04-18,69.5,70.3,68.7,69.6,3167700,67.1897
2016-04-19,69.6,69.6,69.6,69.6,0,67.1897
2016-04-20,69.6,71.5,69.5,70.55,4163200,68.1068
2016-04-21,71.0,71.45,68.8,69.7,2708700,67.28623
2016-04-22,69.9,70.9,69.75,69.95,2624200,67.52757
2016-04-25,70.1,70.45,68.75,69.55,1890200,67.14143
2016-04-26,69.55,72.2,69.3,72.0,4028600,69.50658
2016-04-27,72.1,72.3,70.25,70.75,3189300,68.29987
2016-04-28,70.95,71.05,68.85,69.25,4533500,66.85181999999999
2016-04-29,69.1,71.0,68.3,70.5,4697800,68.05853
2016-05-02,70.45,71.0,69.5,70.15,3813800,67.72065
2016-05-03,71.35,73.5,70.65,71.1,9645800,68.63775
2016-05-04,70.6,72.0,70.1,70.4,3527800,67.96199
2016-05-05,70.4,71.25,69.9,70.3,2260900,67.86546
2016-05-06,70.3,72.5,69.9,72.2,3358900,69.69966
2016-05-09,72.5,74.0,72.25,73.45,4298200,70.90637
2016-05-10,73.4,73.5,71.8,72.45,2270300,69.941
2016-05-11,71.75,72.3,70.85,71.0,2852200,68.54120999999999
2016-05-12,71.15,72.05,70.5,70.85,2876200,68.39641
2016-05-13,70.6,71.1,69.6,70.35,3286400,67.91372
2016-05-16,70.5,70.9,69.35,70.25,4503400,67.81719
2016-05-17,70.5,70.65,69.5,70.0,3257500,67.57585
2016-05-18,69.5,70.45,69.15,70.0,2552000,67.57585
2016-05-19,70.0,70.35,68.0,68.4,2676700,66.03126
2016-05-20,68.65,70.15,68.45,69.4,3274700,66.99663000000001
2016-05-23,71.2,71.4,70.25,70.65,4459800,68.20334
2016-05-24,72.2,72.75,71.25,71.7,7098400,69.21696999999999
2016-05-25,72.15,73.4,71.8,73.15,3625200,70.61676
2016-05-26,73.5,74.0,72.3,73.65,5051600,71.09944
2016-05-27,73.65,74.8,72.4,72.6,4308300,70.0858
2016-05-30,72.9,76.0,72.3,75.15,4012300,72.5475
2016-05-31,75.0,75.3,73.3,73.75,6855700,71.19598
2016-06-01,74.95,74.95,72.45,72.75,4052100,70.23061
2016-06-02,72.85,73.55,71.9,72.25,4488200,69.74793000000001
2016-06-03,72.35,74.45,72.35,73.9,4785100,71.34079
2016-06-06,74.0,75.0,72.95,74.2,2596700,71.63039
2016-06-07,74.5,74.7,73.0,73.5,5048800,70.95464
2016-06-08,73.85,75.9,73.15,75.45,4076700,72.83711
2016-06-09,76.2,77.2,75.2,75.65,6019500,73.03018
2016-06-10,75.75,76.65,75.4,76.2,2779200,73.56113
2016-06-13,77.0,77.4,75.1,75.65,8139300,73.03018
2016-06-14,75.95,76.15,74.55,75.65,3686700,73.03018
2016-06-15,76.35,77.0,75.6,76.55,3143900,73.89902
2016-06-16,76.45,76.95,74.45,76.3,3581800,73.65767
2016-06-17,76.0,76.15,72.3,73.7,6058400,71.14771
2016-06-20,73.35,75.2,72.45,75.05,2258100,72.45096
2016-06-21,75.35,75.9,73.15,73.3,3364500,70.76156999999999
2016-06-22,73.55,74.1,73.05,73.7,2269100,71.14771
