Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,524.9,524.9,518.5,520.05,312000,513.862
2016-01-04,520.05,521.3,505.0,516.4,2684300,510.2554
2016-01-05,516.95,523.3,516.6,521.9,1707100,515.69
2016-01-06,522.0,527.0,520.8,525.1,1456700,518.8519
2016-01-07,521.1,522.45,504.0,510.8,2014700,504.722
2016-01-08,516.0,526.25,512.75,522.15,1426100,515.937
2016-01-11,517.0,517.0,505.85,507.3,1791900,501.2637
2016-01-12,507.95,509.3,498.0,507.4,1836700,501.3625
2016-01-13,508.0,512.25,496.75,504.45,1431100,498.4476
2016-01-14,497.0,516.0,494.05,514.0,2022400,507.884
2016-01-15,519.0,529.95,511.85,520.55,1612700,514.356
2016-01-18,516.0,526.95,514.2,517.4,1035900,511.2435
2016-01-19,518.0,521.6,510.1,512.5,978400,506.4018
2016-01-20,507.25,512.8,503.6,507.0,2002800,500.9673
2016-01-21,508.0,516.3,506.55,507.35,1873600,501.3131
2016-01-22,513.0,516.75,503.7,514.25,894500,508.131
2016-01-25,517.0,523.75,513.5,514.55,689700,508.4274
2016-01-26,514.55,514.55,514.55,514.55,0,508.4274
2016-01-27,514.0,515.6,501.0,503.05,2171300,497.0643
2016-01-28,505.0,509.25,495.9,500.05,2091000,494.1
2016-01-29,500.0,505.65,492.95,501.4,1583900,495.4339
2016-02-01,504.95,518.4,496.15,497.6,2717800,491.6791
2016-02-02,496.0,499.35,472.1,474.45,5733700,468.8046
2016-02-03,471.0,476.8,465.5,472.2,2019900,466.5814
2016-02-04,478.9,478.9,465.1,469.45,1465100,463.8641
2016-02-05,471.9,476.3,468.1,475.1,1196700,469.4469
2016-02-08,471.5,482.0,468.2,470.65,598600,465.0498
2016-02-09,465.0,467.85,446.45,448.25,2352100,442.9163
2016-02-10,447.9,447.9,436.75,440.4,2686000,435.1597
2016-02-11,440.4,443.1,429.0,431.95,1731100,426.8103
2016-02-12,438.0,439.15,425.25,430.0,1443300,424.8835
2016-02-15,432.15,439.1,428.1,430.3,1888100,425.1799
2016-02-16,434.95,436.4,419.65,422.85,979400,417.8186
2016-02-17,422.35,431.5,415.15,429.55,1169600,424.4388
2016-02-18,434.95,435.9,422.9,429.4,1262000,424.2906
2016-02-19,428.6,442.55,426.55,440.5,1644600,435.2585
2016-02-22,440.55,441.9,426.55,431.7,1155600,426.5633
2016-02-23,431.7,432.4,424.0,428.6,1074700,423.5001
2016-02-24,425.0,428.0,418.35,422.05,822200,417.0281
2016-02-25,421.9,423.8,411.0,416.3,2406200,411.3465
2016-02-26,419.25,424.95,411.3,417.75,1912500,412.7792
2016-02-29,417.5,424.0,407.4,415.55,1555000,410.6054
2016-03-01,417.0,435.0,416.0,432.25,1570000,427.1067
2016-03-02,438.45,460.75,434.05,455.55,2339700,450.1295
2016-03-03,459.7,464.0,452.2,461.75,2371400,456.2557
2016-03-04,460.0,462.0,449.95,451.25,2756900,445.8806
2016-03-07,451.25,451.25,451.25,451.25,0,445.8806
2016-03-08,455.0,459.55,445.0,448.85,2050900,443.5092
2016-03-09,443.9,467.5,442.1,464.15,4030200,458.6271
2016-03-10,469.85,473.2,464.2,466.15,3266500,460.6033
2016-03-11,467.95,470.0,455.6,458.05,1025700,452.5997
2016-03-14,460.0,472.3,458.0,470.2,5115300,464.6052
2016-03-15,472.6,475.25,459.0,460.3,996200,454.8229
2016-03-16,457.0,469.15,456.5,465.8,1223300,460.2575
2016-03-17,471.0,490.0,471.0,486.75,2474100,480.9582
2016-03-18,488.0,496.0,483.15,492.45,3064800,486.5904
2016-03-21,492.45,498.4,486.0,490.1,1653300,484.2684
2016-03-22,490.1,492.75,480.2,484.2,2064900,478.4386
2016-03-23,484.0,484.65,474.65,479.9,1458900,474.1897
2016-03-24,479.9,479.9,479.9,479.9,0,474.1897
2016-03-25,479.9,479.9,479.9,479.9,0,474.1897
2016-03-28,482.0,485.25,464.0,474.7,3609800,469.0516
2016-03-29,475.1,479.85,464.0,467.6,2044000,462.0361
2016-03-30,471.0,478.8,465.75,472.85,3203800,467.2236
2016-03-31,475.0,483.0,473.2,474.95,4630100,469.2986
2016-04-01,476.0,476.05,460.0,463.1,2394900,457.5896
2016-04-04,468.0,474.0,466.2,470.55,1708000,464.95099999999996
2016-04-05,472.5,473.0,460.1,462.25,1430300,456.7497
2016-04-06,463.5,465.35,448.4,453.0,2671500,447.6098
2016-04-07,454.8,459.0,442.9,444.45,1891400,439.1616
2016-04-08,444.4,457.8,444.0,455.85,2043700,450.4259
2016-04-11,455.85,471.4,451.0,469.6,1008800,464.0123
2016-04-12,469.75,472.7,460.1,464.45,1901100,458.9236
2016-04-13,469.5,472.6,465.9,471.4,1062000,465.7909
2016-04-14,471.4,471.4,471.4,471.4,0,465.7909
2016-04-15,471.4,471.4,471.4,471.4,0,465.7909
2016-04-18,475.0,482.0,472.25,476.7,1780700,471.0278
2016-04-19,476.7,476.7,476.7,476.7,0,471.0278
2016-04-20,480.0,488.5,476.0,483.55,1450700,477.7963
2016-04-21,484.0,486.5,474.1,476.35,1179300,470.68199999999996
2016-04-22,477.05,487.75,474.6,479.9,2058300,474.1897
2016-04-25,481.8,484.7,469.1,472.0,784200,466.3837
2016-04-26,472.2,477.0,465.7,475.5,1123000,469.8421
2016-04-27,477.0,484.1,473.4,479.25,955100,473.5475
2016-04-28,480.0,483.8,468.2,480.15,4152800,474.4367
2016-04-29,477.0,489.0,476.0,486.15,2295700,480.3654
2016-05-02,485.0,485.0,475.6,477.2,1076000,471.5219
2016-05-03,477.2,483.4,465.0,467.2,1721600,461.6409
2016-05-04,464.0,471.1,459.7,466.95,1379300,461.3938
2016-05-05,466.8,482.0,465.0,479.35,1484500,473.6463
2016-05-06,475.2,479.0,470.4,473.05,948700,467.4212
2016-05-09,475.1,480.65,474.0,478.6,827600,472.9052
2016-05-10,479.45,485.6,475.65,482.7,2296900,476.9564
2016-05-11,477.9,483.6,471.5,473.9,1749700,468.2611
2016-05-12,471.5,484.4,471.5,481.2,1123100,475.4743
2016-05-13,482.0,483.5,476.2,479.8,1078900,474.0909
2016-05-16,479.0,494.9,477.85,486.95,1732700,481.1559
2016-05-17,489.0,493.9,481.8,483.8,868800,478.0433
2016-05-18,481.05,486.25,480.0,484.75,1371600,478.98199999999997
2016-05-19,484.2,487.5,481.15,484.0,1292300,478.2409
2016-05-20,482.3,489.45,474.85,475.85,741200,470.1879
2016-05-23,478.1,481.0,472.8,476.45,1069500,470.7808
2016-05-24,476.0,485.7,464.6,480.25,2610000,474.5356
2016-05-25,499.1,532.0,494.5,528.5,10804700,522.2114
2016-05-26,530.0,547.0,520.25,542.3,3270800,535.8472
2016-05-27,539.0,541.0,533.6,535.9,1572500,529.5234
2016-05-30,535.8,564.0,535.0,543.55,2901800,537.0824
2016-05-31,544.1,548.0,536.65,540.35,2896900,533.9204
2016-06-01,541.0,543.2,537.3,540.0,1093700,533.5746
2016-06-02,537.0,552.5,537.0,546.15,1862100,539.6515
2016-06-03,551.45,557.55,546.15,551.7,1706000,545.1354
2016-06-06,550.8,551.9,534.25,539.6,1614000,533.1793
2016-06-07,544.9,544.9,533.45,536.3,1763500,529.9186
2016-06-08,540.0,540.0,533.0,535.65,739300,529.2764
2016-06-09,537.9,537.9,528.3,534.45,1085100,528.0907
2016-06-10,535.7,540.45,530.75,537.55,565200,531.1537
2016-06-13,534.2,536.4,528.55,534.1,852400,527.7448
2016-06-14,531.05,537.4,528.5,533.3,736800,526.9543
2016-06-15,535.0,542.0,530.0,540.9,648900,534.4639
2016-06-16,537.05,543.35,530.5,533.1,1181300,526.7567
2016-06-17,533.1,542.0,532.3,535.25,946000,528.8811
2016-06-20,534.0,548.85,532.1,544.3,1592700,537.8234
2016-06-21,543.9,544.3,533.0,535.0,1344300,528.6341
2016-06-22,540.8,542.0,530.55,532.75,1211900,526.4109
2016-06-23,533.1,535.0,526.65,531.35,1027500,525.0275
