Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,727.65,735.5,722.75,732.45,997700,725.31
2016-01-04,729.9,729.9,701.1,705.75,2538700,698.87
2016-01-05,709.0,713.1,698.4,707.7,2069100,700.8
2016-01-06,711.95,716.9,701.5,703.85,1665900,696.99
2016-01-07,692.9,692.9,675.7,678.85,2410500,672.23
2016-01-08,685.0,699.0,683.35,693.7,2559200,686.94
2016-01-11,685.0,704.65,676.25,694.5,2960200,687.73
2016-01-12,697.55,699.45,668.4,672.95,3080200,666.39
2016-01-13,681.5,689.85,660.1,682.7,4964700,676.04
2016-01-14,672.95,678.65,662.0,674.2,3573800,667.63
2016-01-15,680.0,683.6,660.1,663.7,3630400,657.23
2016-01-18,661.0,670.05,651.7,656.0,3781100,649.6
2016-01-19,663.0,686.5,657.5,681.25,4878600,674.61
2016-01-20,673.9,675.8,631.55,646.25,5289100,639.95
2016-01-21,655.05,673.0,647.45,654.3,4106900,647.92
2016-01-22,667.0,689.7,661.75,684.0,3313500,677.33
2016-01-25,691.9,695.1,673.5,677.5,1963500,670.89
2016-01-26,677.5,677.5,677.5,677.5,0,670.89
2016-01-27,680.1,684.8,665.0,678.05,2015000,671.44
2016-01-28,679.85,686.4,667.65,671.55,3204400,665.0
2016-01-29,663.0,749.5,651.15,746.8,17412600,739.52
2016-02-01,754.4,775.8,744.5,772.4,11058800,764.87
2016-02-02,772.4,785.0,760.4,764.3,6597000,756.85
2016-02-03,751.35,789.0,750.05,777.7,5864700,770.12
2016-02-04,784.7,787.95,754.25,759.35,5944400,751.95
2016-02-05,759.2,779.9,759.2,777.05,3195600,769.47
2016-02-08,775.2,789.5,765.0,768.35,3222400,760.86
2016-02-09,758.55,768.9,741.5,746.85,3810100,739.57
2016-02-10,742.1,746.75,727.6,735.35,4386700,728.18
2016-02-11,735.0,739.8,709.6,714.45,3114200,707.48
2016-02-12,720.0,732.95,692.2,728.45,4455500,721.35
2016-02-15,735.2,761.8,735.15,753.4,3776900,746.05
2016-02-16,758.45,759.3,731.0,733.85,3312700,726.69
2016-02-17,732.9,732.9,701.2,720.35,5279700,713.33
2016-02-18,728.0,735.9,706.4,714.25,3211100,707.29
2016-02-19,711.0,723.6,708.55,712.55,2365200,705.6
2016-02-22,716.0,720.5,709.2,712.75,1729700,705.8
2016-02-23,712.5,717.25,681.2,686.35,4300000,679.66
2016-02-24,683.85,703.75,672.05,690.65,4168200,683.92
2016-02-25,694.8,695.05,666.6,670.5,4461100,663.96
2016-02-26,682.3,692.0,668.9,686.55,4125400,679.86
2016-02-29,687.95,704.0,663.35,689.0,4985800,682.28
2016-03-01,696.8,721.8,690.95,719.4,4081700,712.38
2016-03-02,731.0,761.75,730.5,755.25,5333000,747.89
2016-03-03,759.0,760.0,741.1,757.65,4023200,750.26
2016-03-04,756.0,769.5,745.25,759.05,3818500,751.65
2016-03-07,759.05,759.05,759.05,759.05,0,751.65
2016-03-08,769.0,769.55,751.6,759.55,4258300,752.14
2016-03-09,755.0,793.4,751.3,790.6,6059700,782.89
2016-03-10,794.0,800.95,784.5,791.4,3653900,783.68
2016-03-11,787.0,804.8,785.6,800.6,4150500,792.79
2016-03-14,805.0,810.0,797.0,802.0,2506200,794.18
2016-03-15,801.0,817.0,797.05,810.95,3612800,803.04
2016-03-16,807.0,815.5,795.5,804.4,3349000,796.56
2016-03-17,811.1,818.8,793.0,799.55,3092100,791.75
2016-03-18,801.0,817.5,795.75,814.25,2644100,806.31
2016-03-21,818.0,834.5,812.75,831.85,3430100,823.74
2016-03-22,831.0,837.75,822.65,832.2,2618300,824.08
2016-03-23,830.0,851.85,826.45,849.25,4193500,840.97
2016-03-24,849.25,849.25,849.25,849.25,0,840.97
2016-03-25,849.25,849.25,849.25,849.25,0,840.97
2016-03-28,843.15,859.9,835.5,842.25,3450200,834.04
2016-03-29,841.0,854.4,836.0,846.35,1969100,838.1
2016-03-30,853.5,870.0,848.55,866.3,2709000,857.85
2016-03-31,862.5,875.0,858.55,865.05,6246400,856.61
2016-04-01,863.0,865.5,852.4,855.6,2827300,847.26
2016-04-04,855.9,869.9,855.0,867.95,3239300,859.49
2016-04-05,860.0,865.1,826.5,829.2,4500100,821.11
2016-04-06,835.0,842.15,828.25,834.05,3296800,825.92
2016-04-07,838.95,844.0,831.0,835.5,1843000,827.35
2016-04-08,837.0,853.5,833.2,849.4,2366600,841.12
2016-04-11,853.0,862.45,847.85,859.65,1921900,851.27
2016-04-12,859.8,868.3,853.2,859.3,1772200,850.92
2016-04-13,867.1,875.0,865.75,870.15,1668700,861.66
2016-04-14,870.15,870.15,870.15,870.15,0,861.66
2016-04-15,870.15,870.15,870.15,870.15,0,861.66
2016-04-18,862.0,897.0,861.1,893.55,3898200,884.84
2016-04-19,893.55,893.55,893.55,893.55,0,884.84
2016-04-20,894.7,894.7,877.0,881.9,3070400,873.3
2016-04-21,888.4,898.25,876.6,881.35,2960900,872.76
2016-04-22,880.0,887.9,872.65,875.75,1916100,867.21
2016-04-25,877.1,885.5,871.15,878.65,1514000,870.08
2016-04-26,880.0,914.8,875.6,910.7,3314200,901.82
2016-04-27,915.0,923.0,898.0,915.5,10208900,906.57
2016-04-28,916.35,951.7,916.0,945.55,13347100,936.33
2016-04-29,948.0,952.45,928.7,942.95,4306900,933.76
2016-05-02,947.9,957.6,941.5,944.95,3986700,935.74
2016-05-03,946.5,951.8,928.0,931.2,2922600,922.12
2016-05-04,931.0,933.9,914.4,917.6,4814100,908.65
2016-05-05,919.0,933.2,905.65,912.15,6760700,903.26
2016-05-06,909.0,919.9,905.9,910.2,2383900,901.32
2016-05-09,914.8,948.0,913.4,946.2,4620700,936.97
2016-05-10,949.0,952.9,938.1,949.75,3243000,940.49
2016-05-11,936.25,962.4,928.0,956.35,4583200,947.02
2016-05-12,956.0,967.4,950.1,955.05,2639100,945.74
2016-05-13,956.05,960.9,944.1,950.55,3165100,941.28
2016-05-16,952.95,987.1,945.2,980.3,5211400,970.74
2016-05-17,988.7,999.85,967.7,969.95,6444700,960.49
2016-05-18,966.4,977.65,962.85,971.25,2938200,961.78
2016-05-19,971.7,987.0,964.5,966.9,3088800,957.47
2016-05-20,974.9,981.5,964.5,977.7,2674800,968.17
2016-05-23,982.75,985.0,974.5,978.1,2260200,968.56
2016-05-24,975.05,985.55,971.15,977.0,2165600,967.47
2016-05-25,985.0,999.2,985.0,996.0,2426500,986.29
2016-05-26,1000.0,1026.0,997.1,1021.05,3303600,1011.09
2016-05-27,1025.0,1041.8,1018.0,1025.5,3698200,1015.5
2016-05-30,1024.4,1034.85,1021.3,1026.95,2923700,1026.95
2016-05-31,1027.0,1046.0,1019.9,1033.0,11491700,1033.0
2016-06-01,1031.5,1033.9,1005.55,1017.9,2442700,1017.9
2016-06-02,1014.25,1052.5,1011.65,1049.05,2982400,1049.05
2016-06-03,1055.0,1059.8,1042.1,1049.4,3032400,1049.4
2016-06-06,1050.0,1069.0,1044.55,1064.7,3259600,1064.7
2016-06-07,1072.5,1085.35,1062.1,1066.2,6520600,1066.2
2016-06-08,1065.5,1066.1,1044.9,1053.8,2932500,1053.8
2016-06-09,1053.8,1059.7,1036.65,1040.05,2659600,1040.05
2016-06-10,1042.6,1068.4,1040.6,1063.3,3495300,1063.3
2016-06-13,1057.95,1071.75,1052.4,1065.15,2697600,1065.15
2016-06-14,1065.1,1071.7,1057.55,1064.6,1545700,1064.6
2016-06-15,1068.55,1073.45,1057.1,1070.9,1819100,1070.9
2016-06-16,1066.0,1067.35,1047.45,1060.55,2264500,1060.55
2016-06-17,1065.0,1075.0,1060.0,1070.85,2108300,1070.85
2016-06-20,1057.95,1079.0,1055.35,1075.25,1506600,1075.25
2016-06-21,1078.05,1080.0,1066.35,1071.4,1517700,1071.4
2016-06-22,1075.0,1081.6,1066.8,1078.85,2021000,1078.85
2016-06-23,1076.3,1115.0,1076.3,1110.8,3861700,1110.8
2016-06-24,1062.25,1086.45,1042.0,1080.5,5361000,1080.5
2016-06-27,1070.45,1089.9,1069.95,1075.75,2890500,1075.75
2016-06-28,1082.9,1082.9,1062.45,1069.9,2458200,1069.9
2016-06-29,1075.0,1083.8,1070.0,1072.7,2326100,1072.7
2016-06-30,1081.9,1110.0,1074.5,1107.1,3247400,1107.1
2016-07-01,1112.65,1134.0,1106.55,1129.7,2537400,1129.7
2016-07-04,1135.0,1140.0,1115.0,1117.6,2033400,1117.6
2016-07-05,1118.9,1132.0,1113.0,1126.4,1563500,1126.4
2016-07-06,1126.4,1126.4,1126.4,1126.4,0,1126.4
2016-07-07,1130.0,1130.0,1110.0,1112.1,1621700,1112.1
2016-07-08,1111.25,1124.0,1106.6,1120.25,1131300,1120.25
