Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,143.75,151.25,142.4,147.6,2545500,147.489
2016-01-04,146.1,146.1,133.75,137.35,2495500,137.2467
2016-01-05,138.2,142.0,135.25,139.7,1506900,139.595
2016-01-06,139.75,142.7,136.75,137.3,775900,137.1968
2016-01-07,135.4,135.4,127.6,128.8,1235000,128.7032
2016-01-08,130.4,133.4,120.5,126.6,2351600,126.5048
2016-01-11,124.95,130.0,121.85,128.5,1128900,128.4034
2016-01-12,129.65,132.9,122.3,123.45,1478300,123.3572
2016-01-13,126.0,127.5,106.1,116.35,2969200,116.2625
2016-01-14,111.4,122.0,109.3,116.0,1795300,115.9128
2016-01-15,117.3,120.0,106.5,108.65,1334100,108.5683
2016-01-18,105.0,108.0,91.5,97.05,2281300,96.977
2016-01-19,99.1,107.0,98.55,104.05,2058900,103.9718
2016-01-20,101.0,105.9,93.65,97.45,2483000,97.3767
2016-01-21,99.25,101.95,97.35,98.8,1475300,98.7257
2016-01-22,100.9,110.0,100.65,108.75,2850200,108.6682
2016-01-25,113.4,116.05,111.3,113.1,2068500,113.015
2016-01-26,113.1,113.1,113.1,113.1,0,113.015
2016-01-27,114.4,117.25,112.55,114.1,1330700,114.0142
2016-01-28,114.5,116.7,113.1,113.5,807800,113.4147
2016-01-29,113.9,116.95,113.75,115.35,963300,115.2633
2016-02-01,115.5,119.8,115.5,117.6,1039400,117.5116
2016-02-02,118.15,118.55,108.85,110.4,865400,110.31700000000001
2016-02-03,107.8,108.4,102.55,103.85,899300,103.7719
2016-02-04,105.25,107.85,99.3,100.55,1215200,100.4744
2016-02-05,101.0,104.85,98.2,103.8,1029500,103.72200000000001
2016-02-08,103.6,104.55,99.3,100.2,763600,100.1247
2016-02-09,98.0,102.35,97.05,100.1,942300,100.0247
2016-02-10,98.65,100.9,97.1,98.05,686200,97.9763
2016-02-11,98.6,98.95,87.0,89.75,1243300,89.6825
2016-02-12,90.65,91.9,81.45,85.3,1641400,85.2359
2016-02-15,87.9,92.4,87.05,89.9,984300,89.8324
2016-02-16,90.95,92.0,85.55,86.05,491900,85.9853
2016-02-17,86.7,86.7,78.5,81.55,1755400,81.4887
2016-02-18,83.3,86.8,81.3,83.65,988700,83.5871
2016-02-19,83.55,85.7,81.6,84.6,714800,84.5364
2016-02-22,84.9,87.8,84.9,87.25,589200,87.1844
2016-02-23,87.45,87.6,82.1,83.4,592800,83.3373
2016-02-24,83.0,86.0,81.55,84.0,576700,83.9368
2016-02-25,82.65,86.0,82.65,84.15,455700,84.0867
2016-02-26,85.1,87.4,85.1,86.55,741100,86.4849
2016-02-29,86.2,94.4,85.5,90.3,1660700,90.2321
2016-03-01,91.5,97.9,91.45,96.85,1269600,96.7772
2016-03-02,98.8,101.5,97.25,97.9,1472900,97.8264
2016-03-03,98.6,101.4,97.85,99.45,881500,99.3752
2016-03-04,99.95,104.8,96.55,102.45,1757300,102.37299999999999
2016-03-07,102.45,102.45,102.45,102.45,0,102.37299999999999
